,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
33,Rio de  Janeiro,German,Bayer Leverkusen,01-02-79,6'00'',Juan,,4,D,Flamengo,4,12  04,2005
34,Spielberg,German,Bayer Leverkusen,11-01-74,6'00'',Jens Nowotny,,5,D,Karlsruhe,5,13  10,2005
35,Ibbenbüren,German,Bayer Leverkusen,21-01-82,6'02'',Simon Rolfes,,6,M,Alemannia  Aachen,6,12  06,2005
36,Rotmonten,German,Bayer Leverkusen,22-05-85,"5'09""",Tranquillo  Barnetta,,7,M,St Gallen,7,09  11,2005
37,Kamiensk,German,Bayer Leverkusen,15-05-76,5'11'',Jacek  Krzynowek,,8,M,Nürnberg,8,11  07,2005
38,Blagoevgrad,German,Bayer Leverkusen,30-01-81,6'02'',Dimitar  Berbatov,,9,F,CSKA Sofia,9,12  06,2005
39,Beuthen,German,Bayer Leverkusen,26-07-79,5'11'',Paul Freier,,10,M,Bochum,10,11  11,2005
40,Odessa,German,Bayer Leverkusen,21-07-79,5'10'',Andriy Voronin,,12,F,Köln,12,11  11,2005
41,Rio  de Janeiro,German,Bayer Leverkusen,16-01-77,"5'11""",Athirson,,13,D,Cruzeiro,13,12  01,2005
42,Osijek,German,Bayer Leverkusen,22-08-87,"6'01""",Josip  Tadić,,14,F,NK Osijek,14,11  09,2005
43,Erfurt,German,Bayer Leverkusen,07-12-80,6'00'',Clemens Fritz,,17,F,RW Erfurt,17,11  09,2005
44,Osijek,German,Bayer Leverkusen,21-01-81,6'01'',Marko  Babić,,19,M,NK Osijek,19,11  09,2005
45,,German,Bayer Leverkusen,08-01-85,"6'00""",Benedikt  Fernandez,,20,G,None,20,11  09,2005
46,Leipzig,German,Bayer Leverkusen,15-01-85,6'02'',René  Adler,,22,G,None,22,12  08,2005
47,Casablanca,German,Bayer Leverkusen,01-10-80,6'03'',Ahmed Reda  Madouni,,23,D,Borussia  Dortmund,23,13  05,2005
48,Jena,German,Bayer Leverkusen,17-11-73,5'09'',Bernd  Schneider,,25,M,Eintracht  Frankfurt,25,11  09,2005
49,Ostrava,German,Bayer Leverkusen,14-04-85,"6'02""",Michal Papadopulos,,26,F,Baník  Ostrava,26,12 11,2005
50,Wuppertal,German,Bayer Leverkusen,11-06-87,"5'07""",Gonzalo Castro,,27,M,None,27,11  03,2005
51,Berlin,German,Bayer Leverkusen,20-03-74,6'01'',Carsten  Ramelow,,28,M,Hertha  Berlin,28,12  13,2005
52,Schleswig,German,Bayer Leverkusen,23-09-84,6'02'',Jan-Ingwer  Callsen-Bracker,,29,D,None,29,12  04,2005
53,Mönchengladbach,German,Bayer Leverkusen,14-04-85,"6'02""",René Schnitzler,,30,F,None,30,12 08,2005
54,Cologne,German,Bayer Leverkusen,26-09-87,"5'08""",Pierre  De Wit,,32,M,None,32,10  08,2005
55,,German,Bayer Leverkusen,22-02-84,"6'00""",Ali  Camdali,,33,M,B  Mönchengladbach II,33,13  05,2005
56,Remscheid,German,Bayer Leverkusen,13-04-85,"5'07""",Cataldo  Cozza,,34,M,None,34,11  00,2005
57,Waldbröl,German,Bayer Leverkusen,12-07-85,"5'09""",Timo  Röttger,,40,M,None,40,12  00,2005
58,,German,Bayer Leverkusen,25-06-82,"5'11""",Thomas  Hübener,,44,D,Fortuna  Köln,41,12  13,2005
59,Karlsruhe,German,Bayern Munich,15-06-69,6'02'',Oliver Kahn,,1,G,Karlsruhe,1,14  02,2005
60,Saint-Étienne,German,Bayern Munich,18-03-77,5'11'',Willy Sagnol,,2,D,Monaco,2,12  04,2005
61,Brasília,German,Bayern Munich,08-05-78,6'02'',Lúcio,,3,D,Bayer  Leverkusen,3,12  13,2005
62,Justiniano  Posse,German,Bayern Munich,20-12-80,6'00'',Martin  Demichelis,,6,D,River  Plate,6,12  08,2005
63,Karlsruhe,German,Bayern Munich,16-10-70,5'10'',Mehmet Scholl,,7,M,Karlsruhe,7,11  00,2005
64,Tehran,German,Bayern Munich,08-11-78,"5'10""",Ali Karimi,,8,M,Al  Ahli,8,12  06,2005
65,Wijchen,German,Bayern Munich,09-03-75,6'02'',Roy Makaay,,10,F,Deportivo La  Coruña,10,11  11,2005
66,São Paulo,German,Bayern Munich,06-07-74,5'08'',Zé  Roberto,,11,M,Bayer  Leverkusen,11,11  03,2005
67,Chemnitz,German,Bayern Munich,26-09-76,6'02'',Michael  Ballack,,13,M,Bayer  Leverkusen,13,12  08,2005
68,Lima,German,Bayern Munich,03-10-78,6'00'',Claudio  Pizarro,,14,F,Werder Bremen,14,12  06,2005
69,Görlitz,German,Bayern Munich,05-03-74,5'10'',Jens Jeremies,,16,M,1860  Munich,16,12  00,2005
70,Weilheim,German,Bayern Munich,31-01-82,5'10'',Andreas  Görlitz,,18,M,1860 Munich,18,11  09,2005
71,Asunción,German,Bayern Munich,07-05-83,"6'02""",Julio dos Santos,,19,M,Cerro  Porteño,19,13 05,2005
72,Mostar,German,Bayern Munich,01-01-77,5'11'',Hasan  Salihamidzic,,20,M,Hamburg,20,12  04,2005
73,Munich,German,Bayern Munich,11-11-83,5'07'',Philipp  Lahm,,21,D,None,21,09  08,2005
74,Lingen  (Ems),German,Bayern Munich,14-05-84,6'02'',Michael  Rensing,,22,G,None,22,13  05,2005
75,Calgary,German,Bayern Munich,20-01-81,5'11'',Owen  Hargreaves,,23,M,Calgary  Foothills,23,11  07,2005
76,Asunción,German,Bayern Munich,16-08-81,6'02'',Roque Santa  Cruz,,24,F,Olimpia [PAR],24,12  08,2005
77,Strasbourg,German,Bayern Munich,28-09-75,6'03'',Valérien  Ismaël,,25,D,Werder Bremen,25,12  11,2005
78,Lörrach,German,Bayern Munich,05-01-80,6'00'',Sebastian  Deisler,,26,M,Hertha  Berlin,26,12  04,2005
79,Leverkusen,German,Bayern Munich,02-11-66,"6'02""",Bernd  Dreher,,29,G,KFC  Uerdingen,29,13  05,2005
80,Kolbermoor,German,Bayern Munich,01-08-84,5'11'',Bastian  Schweinsteiger,,31,M,1860 Rosenheim,31,12  00,2005
81,Lima,German,Bayern Munich,01-01-84,"6'00""",José  Paolo Guerrero,,33,F,None,33,11  05,2005
82,,German,Bayern Munich,27-09-82,6'00'',Jan  Schlösser,,36,G,None,36,12  06,2005
83,Munich,German,Bayern Munich,01-03-85,"6'01""",Andreas  Ottl,,39,D,None,39,12  00,2005
84,Saint-Jean-de-Luz,German,Bayern Munich,09-12-69,5'07'',Bixente  Lizarazu,,69,D,Marseille,41,11  05,2005
85,Dietz,German,Borussia Dortmund,06-08-80,6'02'',Roman  Weidenfeller,,1,G,Kaiserslautern,1,13  05,2005
86,Lünen,German,Borussia Dortmund,25-05-84,6'05'',Markus  Brzenska,,3,D,BV  Lünen,3,13  10,2005
87,Mannheim,German,Borussia Dortmund,10-05-72,6'00'',Christian  Wörns,,4,D,Paris St-Germain,4,12  08,2005
88,Fulda,German,Borussia Dortmund,13-02-80,6'02'',Sebastian  Kehl,,5,M,Freiburg,5,12  08,2005
89,Siegen,German,Borussia Dortmund,18-08-82,6'01'',Florian Kringe,,6,M,Sportfreunde  Siegen,6,12  13,2005
90,Durban,German,Borussia Dortmund,07-12-77,5'09'',Delron  Buckley,,7,F,Arminia  Bielefeld,7,11  07,2005
91,Tema,German,Borussia Dortmund,24-10-80,"5'09""",Matthew Amoah,,8,F,Vitesse  Arnhem,8,11 03,2005
92,Lhota,German,Borussia Dortmund,30-03-73,6'07'',Jan Koller,,9,F,Anderlecht,9,15  10,2005
93,Prague,German,Borussia Dortmund,04-10-80,5'10'',Tomás  Rosický,,10,M,Sparta Prague,10,10  03,2005
94,Bünde/Westfalen,German,Borussia Dortmund,21-02-84,5'09'',David Odonkor,,11,M,Bünder SV,11,11  09,2005
95,Kinshasa,German,Borussia Dortmund,04-02-86,"5'08""",Kosi Saka,,13,M,None,13,09  06,2005
96,Lodz,German,Borussia Dortmund,09-01-81,"5'09""",Ebi Smolarek,,14,F,Feyenoord,14,10  06,2005
97,,German,Borussia Dortmund,04-02-81,"6'01""",Marcus  Steegmann,,15,F,Hamburg,15,12  11,2005
98,Den Haag,German,Borussia Dortmund,05-05-79,"5'10""",Cedric van der Gun,,16,F,Ajax,16,11  11,2005
99,Belo Horizonte,German,Borussia Dortmund,18-04-78,5'09'',Dedê,,17,D,Atlético  Mineiro,17,10  06,2005
100,Dortmund,German,Borussia Dortmund,10-07-76,5'10'',Lars Ricken,,18,M,Eintracht  Dortmund,18,11  05,2005
101,Bielefeld,German,Borussia Dortmund,06-08-86,"5'10""",Mehmet Akgün,,19,F,None,19,11  00,2005
102,Rain/Lech,German,Borussia Dortmund,11-02-72,6'04'',Bernd Meier,,20,G,LR Ahlen,20,14  09,2005
103,Halten,German,Borussia Dortmund,05-11-80,6'04'',Christoph  Metzelder,,21,D,Preußen  Münster,21,13  03,2005
104,Castrop-Rauxel,German,Borussia Dortmund,29-06-87,"5'09""",Marc-André Kruska,,22,M,None,22,10  03,2005
105,Basel,German,Borussia Dortmund,15-02-83,"6'00""",Philipp Degen,,23,D,Basel,23,12  04,2005
106,Hagen,German,Borussia Dortmund,20-03-87,"5'07""",Nizamettin  Caliskan,,24,M,None,24,10  03,2005
107,Lüdenscheid,German,Borussia Dortmund,05-09-88,"5'10""",Nuri Sahin,,25,M,None,25,10  03,2005
108,Dortmund,German,Borussia Dortmund,18-03-85,"6'01""",Marc  Heitmeier,,26,D,None,26,12  01,2005
109,Rietberg,German,Borussia Dortmund,09-01-86,"6'01""",Uwe  Hünemeier,,27,M,None,27,11  09,2005
110,Ratibor,German,Borussia Dortmund,22-02-88,"5'07""",Sebastian  Tyrala,,28,M,None,28,10  03,2005
111,Unna,German,Borussia Dortmund,11-03-85,"5'10""",Sascha Rammel,,29,D,None,29,10  06,2005
112,Nijmegen,German,Borussia Dortmund,30-09-75,"5'11""",Dennis  Gentenaar,,30,G,NEC  Nijmegen,30,12  04,2005
113,,German,Borussia Dortmund,21-03-86,"6'02""",Sascha  Samulewicz,,32,G,Eintracht  Dortmund,32,13  05,2005
114,Hagen,German,Borussia Dortmund,27-11-83,5'09'',Salvatore  Gambino,,33,F,VfB  Westhofen,33,11  00,2005
115,,German,Borussia Dortmund,27-08-85,"6'05""",Sören  Pirson,,34,G,Fortuna  Düsseldorf,34,14  07,2005
116,,German,Borussia Dortmund,05-09-85,"6'01""",Marcel  Großkreutz,,39,D,Phönix  DO-Eving,39,12  06,2005
117,Heydebreck-Cosel,German,Borussia Mönchengladbach,16-01-77,6'01'',Darius Kampa,,1,G,Nürnberg,1,12  01,2005
118,Aalborg,German,Borussia Mönchengladbach,04-08-79,"6'03""",Bo Svensson,,2,D,FC København,2,13  05,2005
119,Turnhout,German,Borussia Mönchengladbach,31-10-78,"5'11""",Filip Daems,,3,D,Gençlerbirliği,3,12  06,2005
120,Odense,German,Borussia Mönchengladbach,24-06-71,"5'11""",Thomas Helveg,,4,D,Norwich  C,4,12  08,2005
121,Mönchengladbach,German,Borussia Mönchengladbach,04-11-85,"6'03""",Marcell  Jansen,,5,D,None,5,11  05,2005
122,Luxembourg,German,Borussia Mönchengladbach,05-10-74,6'03'',Jeff Strasser,,7,M,Kaiserslautern,7,12  13,2005
123,Budapest,German,Borussia Mönchengladbach,02-07-76,5'10'',Krisztian  Lisztes,,8,M,Werder Bremen,8,11  05,2005
124,Ninove,German,Borussia Mönchengladbach,09-08-78,"5'09""",Wesley Sonck,,9,F,Ajax,9,11  09,2005
125,Torres Vedras,German,Borussia Mönchengladbach,14-03-77,6'01'',José  António,,13,D,Académica,13,12  00,2005
126,Nador,German,Borussia Mönchengladbach,18-04-77,"5'07""",Hassan El-Fakiri,,14,M,Monaco,14,11 06,2005
127,São Paulo,German,Borussia Mönchengladbach,28-08-82,"6'02""",Kahê,,15,F,Fluminense,15,13 10,2005
128,Hasselt,German,Borussia Mönchengladbach,28-06-78,"6'01""",Bernd Thijs,,16,M,Trabzonspor,16,12  08,2005
129,Jablonec,German,Borussia Mönchengladbach,16-05-75,6'02'',Milan Fukal,,18,D,Hamburg,18,13  10,2005
130,Sosnowitz,German,Borussia Mönchengladbach,17-03-86,"5'11""",Eugen  Polanski,,19,M,None,19,11  03,2005
131,Odense,German,Borussia Mönchengladbach,08-10-80,"5'11""",Kasper Bøgelund,,20,D,PSV Eindhoven,20,11  11,2005
132,Hengelo,German,Borussia Mönchengladbach,14-11-77,5'10'',Niels Oude  Kamphuis,,21,M,Schalke,21,11  11,2005
133,Soest,German,Borussia Mönchengladbach,21-08-82,6'00'',Oliver Kirch,,22,M,SC Verl,22,11  00,2005
134,Luanda,German,Borussia Mönchengladbach,10-01-84,5'11'',Nando Rafael,,23,F,Hertha  Berlin,23,11  11,2005
135,Frankenberg,German,Borussia Mönchengladbach,22-11-80,5'10'',Peer Kluge,,24,M,Chemnitzer,24,10  06,2005
136,Washington,German,Borussia Mönchengladbach,27-11-69,6'02'',Kasey Keller,,26,G,Tottenham  H,26,13 12,2005
137,Locarno,German,Borussia Mönchengladbach,01-05-73,5'07'',Oliver  Neuville,,27,F,Bayer  Leverkusen,27,10  01,2005
138,Munich,German,Borussia Mönchengladbach,29-01-81,6'00'',Thomas Broich,,29,M,Wacker  Burghausen,29,11  09,2005
139,Castrop-Rauxel,German,Borussia Mönchengladbach,09-07-78,6'05'',Michael Melka,,31,G,Preußen  Münster,31,15  04,2005
140,UIm,German,Borussia Mönchengladbach,17-05-84,"6'00""",Andreas Spann,,32,D,UIm,32,11  09,2005
141,Tübingen,German,Borussia Mönchengladbach,14-06-85,"6'01""",Marvin Compper,,33,D,Stuttgart,33,11  11,2005
142,Kosovo,German,Borussia Mönchengladbach,25-03-79,"6'01""",Bekim Kastrati,,35,F,Borussia  Freialdenhoven,35,12  04,2005
143,Viersen,German,Borussia Mönchengladbach,11-02-87,"6'02""",Robert Fleßers,,36,M,None,36,11  09,2005
144,,German,Borussia Mönchengladbach,22-11-86,"6'00""",Tobias Levels,,37,D,None,37,,2005
145,,German,Borussia Mönchengladbach,28-07-83,,Stefan  Richter,,40,G,Wesel,40,,2005
146,Bergisch-Gladbach,German,MSV Duisburg,03-02-72,6'05'',Georg Koch,,1,G,Energie Cottbus,1,14  02,2005
147,Swakopsmund,German,MSV Duisburg,12-12-79,5'08'',Razundara  Tjikuzu,,2,D,Hansa Rostock,2,10  10,2005
148,Aalborg,German,MSV Duisburg,05-06-78,"6'01""",Thomas Bælum,,3,D,Aalborg,3,12  04,2005
149,Uberlingen,German,MSV Duisburg,03-12-79,6'02'',Uwe Möhrle,,4,D,Hansa Rostock,4,11  11,2005
150,Split,German,MSV Duisburg,17-03-76,6'05'',Marino  Biliskov,,5,D,Wolfsburg,5,14  02,2005
151,Neuss,German,MSV Duisburg,15-04-76,5'10'',Markus  Hausweiler,,6,M,B  Mönchengladbach,6,12  04,2005
152,Amberg,German,MSV Duisburg,08-08-78,5'11'',Alexander  Bugera,,7,F,Bayern Munich  (A),7,12  00,2005
153,Stolberg,German,MSV Duisburg,27-02-79,6'01'',Andreas Voss,,8,M,Bayer  Leverkusen,8,12  08,2005
154,Trbovlje,German,MSV Duisburg,12-06-81,"6'02""",Klemen Lavrič,,10,F,Dynamo Dresden,10,12  13,2005
155,Gelsenkirchen,German,MSV Duisburg,25-07-69,5'11'',Carsten Wolters,,11,M,Borussia  Dortmund,11,12  00,2005
156,Zabrze,German,MSV Duisburg,07-09-85,"6'00""",Adam Bodzek,,13,D,None,13,11  11,2005
157,Wuppertal,German,MSV Duisburg,02-10-82,5'11'',Nasir El Kasmi,,14,M,Bayer  Leverkusen,14,11  09,2005
158,Flörsheim,German,MSV Duisburg,14-01-78,6'00'',Abdelaziz  Ahanfouf,,15,F,Dynamo  Dresden,15,11  11,2005
159,Bucharest,German,MSV Duisburg,25-10-77,"5'11""",Mihai  Tararache,,16,M,Zürich,16,11 11,2005
160,Jülich,German,MSV Duisburg,19-10-83,5'11'',Alexander  Meyer,,17,D,Bayer  Leverkusen,17,11  11,2005
161,Neuss,German,MSV Duisburg,30-07-73,5'11'',Markus Kurth,,18,F,Köln,18,12  08,2005
162,Qungiadi,German,MSV Duisburg,27-01-76,"5'10""",Ahn  Jung-Hwan,,19,F,Metz,19,12  04,2005
163,Munich,German,MSV Duisburg,06-08-75,6'02'',Ivica Grlic,,20,M,Alemannia  Aachen,20,12  13,2005
164,Hasselt,German,MSV Duisburg,04-11-76,5'09'',Peter van  Houdt,,21,F,B  Mönchengladbach,21,11  00,2005
165,Bochum,German,MSV Duisburg,05-04-76,5'10'',Kai Michalke,,22,F,Alemannia  Aachen,22,11  07,2005
166,,German,MSV Duisburg,26-02-80,6'04'',Necat Aygün,,23,D,Unterhaching,23,13  05,2005
167,,German,MSV Duisburg,17-09-83,"6'01""",André  Poggenborg,,24,G,Preußen  Münster,24,13  05,2005
168,,German,MSV Duisburg,02-07-87,"6'00""",Niklas Stegmann,,25,F,Schalke,25,11  05,2005
169,Stollberg,German,MSV Duisburg,12-12-73,6'05'',Sven Beuckert,,26,G,Union Berlin,26,13  12,2005
170,Cologne,German,MSV Duisburg,12-06-74,5'07'',Marcus Anfang,,27,M,Energie Cottbus,27,10  12,2005
171,,German,MSV Duisburg,06-01-87,"6'00""",Oliver  Rademacher,,28,M,Fortuna  Düsseldorf,28,12  04,2005
172,Freiburg,German,MSV Duisburg,14-12-79,5'10'',Tobias Willi,,29,M,Freiburg,29,11  05,2005
173,Cologne,German,MSV Duisburg,04-03-72,6'02'',Dirk Lottner,,30,M,Köln,30,12  11,2005
174,Villingen-Schwenningen,German,MSV Duisburg,14-04-84,"5'11""",Marco Caligiuri,,33,M,Stuttgart,33,11  11,2005
175,Erbach,German,Eintracht Frankfurt,25-05-74,6'02'',Oka Nikolov,,1,G,SV Darmstadt,1,14  00,2005
176,Frankfurt am  Main,German,Eintracht Frankfurt,14-05-84,"5'10""",Patrick Ochs,,2,D,Bayern Munich  (A),2,11  03,2005
177,Giessen,German,Eintracht Frankfurt,04-07-81,5'11'',Christoph  Preuß,,4,D,Bochum,4,10  12,2005
178,Skopje,German,Eintracht Frankfurt,27-11-79,"5'11""",Aleksandar Vasoski,,5,D,Vardar Skopje,5,12  04,2005
179,Berlin,German,Eintracht Frankfurt,04-08-80,"5'08""",Benjamin Köhler,,7,F,RW Essen,7,10  06,2005
180,Klagenfurt,German,Eintracht Frankfurt,01-11-76,5'11'',Stefan Lexa,,8,M,Tenerife,8,11  09,2005
181,Lauterach,German,Eintracht Frankfurt,08-03-75,5'06'',Markus  Weissenberger,,10,M,1860 Munich,10,10  03,2005
182,Frankfurt am  Main,German,Eintracht Frankfurt,25-07-80,6'00'',Cha Du-Ri,,11,F,Bayer  Leverkusen,11,10  03,2005
183,Frankfurt am  Main,German,Eintracht Frankfurt,03-11-81,6'00'',Jermaine Jones,,13,F,Bayer  Leverkusen,13,12  04,2005
184,Buchholz,German,Eintracht Frankfurt,17-01-83,6'05'',Alexander Meier,,14,M,Hamburg,14,13  03,2005
185,Imotski,German,Eintracht Frankfurt,13-12-79,6'01'',Jurica Puljiz,,15,D,Hajduk Split,15,12  06,2005
186,Sternenberg,German,Eintracht Frankfurt,30-03-78,"5'09""",Christoph Spycher,,16,M,Grasshoppers,16,11  11,2005
187,Hanau,German,Eintracht Frankfurt,19-01-85,5'09'',Daniyel Cimen,,17,D,None,17,11  05,2005
188,Kozani,German,Eintracht Frankfurt,03-12-81,5'11'',Ioannis  Amanatidis,,18,F,Kaiserslautern,18,12  01,2005
189,Kiel,German,Eintracht Frankfurt,19-07-74,5'07'',Francisco  Copado,,20,M,Unterhaching,20,09  08,2005
190,Rheinbach,German,Eintracht Frankfurt,28-08-79,6'02'',Markus Pröll,,21,G,Köln,21,13  08,2005
191,Offenbach,German,Eintracht Frankfurt,19-05-85,"6'01""",Christopher  Reinhard,,22,D,None,22,11  09,2005
192,Großauheim,German,Eintracht Frankfurt,04-08-85,"6'03""",Marco Russ,,23,D,None,23,11  11,2005
193,Frankfurt am  Main,German,Eintracht Frankfurt,23-07-71,6'01'',Alexander Schur,,24,M,FSV Frankfurt,24,13  01,2005
194,Ehringshausen,German,Eintracht Frankfurt,27-11-85,"6'06""",Dominik  Stroh-Engel,,26,F,Waldgirmes,26,13  10,2005
195,Offenbach,German,Eintracht Frankfurt,19-04-85,"6'02""",Jan Zimmermann,,28,G,None,28,13  05,2005
196,Timbó,German,Eintracht Frankfurt,25-08-78,6'01'',Chris,,29,D,Prudentopolis,29,12  06,2005
197,Dornach,German,Eintracht Frankfurt,07-07-77,"6'02""",Benjamin Huggel,,30,M,FC Basel,30,13  03,2005
198,Frankfurt am  Main,German,Eintracht Frankfurt,29-01-86,"6'00""",Mounir Chaftar,,31,D,None,31,11  00,2005
199,Berlin,German,Eintracht Frankfurt,29-04-72,6'02'',Marko Rehmer,,33,D,Hertha  Berlin,33,13  05,2005
200,Langley,German,Eintracht Frankfurt,01-12-83,"6'01""",Robert Cue,,34,G,Bad Vilbel,34,13  05,2005
201,Herne,German,Hamburger SV,20-04-78,6'02'',Stefan  Wächter,,1,G,KFC Uerdingen,1,13  08,2005
202,Douala,German,Hamburger SV,17-02-82,"6'03""",Thimothée  Atouba,,3,D,Tottenham  H,3,12  06,2005
203,Ludwigslust,German,Hamburger SV,19-11-75,6'04'',Bastian  Reinhardt,,4,D,Arminia  Bielefeld,4,14  07,2005
204,Chimay,German,Hamburger SV,07-02-78,"6'05""",Daniel van Buyten,,5,D,Marseille,5,13 09,2005
205,Leuggern,German,Hamburger SV,26-04-77,5'10'',Raphael Wicky,,6,M,Atlético  Madrid,6,11  11,2005
206,Tehran,German,Hamburger SV,24-07-77,5'08'',Mehdi  Mahdavikia,,7,M,Bochum,7,11  05,2005
207,Vilsbiburg,German,Hamburger SV,14-02-86,"6'03""",Markus Karl,,8,M,Greuther Fürth,8,12  13,2005
208,Mostar,German,Hamburger SV,17-09-71,6'02'',Sergej  Barbarez,,10,M,Borussia  Dortmund,10,12  08,2005
209,Hausham,German,Hamburger SV,04-08-81,5'10'',Benjamin  Lauth,,11,F,1860 Munich,11,11  09,2005
210,Braunschweig,German,Hamburger SV,09-06-80,"6'05""",Sascha  Kirschstein,,12,G,RW Essen,12,12  13,2005
211,Heidenau,German,Hamburger SV,10-10-84,"6'00""",Mario Fillinger,,13,M,Chemnitzer,13,12  00,2005
212,Caslav,German,Hamburger SV,17-05-79,5'08'',David Jarolim,,14,M,Nürnberg,14,10  10,2005
213,Dirschau,German,Hamburger SV,22-03-84,5'06'',Piotr  Trochowski,,15,M,Bayern  Munich,15,10  10,2005
214,Berlin,German,Hamburger SV,02-04-81,"5'10""",René  Klingbeil,,16,D,B  Mönchengladbach,16,12  00,2005
215,Wolfen,German,Hamburger SV,02-03-85,"5'09""",Oliver Hampel,,18,M,Hertha Berlin  (A),18,11  09,2005
216,Bosanski Novi,German,Hamburger SV,05-11-86,"6'04""",Mustafa Kučuković,,19,F,None,19,13  03,2005
217,Orsay,German,Hamburger SV,13-06-81,6'02'',Guy Demel,,20,M,Borussia  Dortmund,20,13  05,2005
218,Maassluis,German,Hamburger SV,28-12-81,"6'03""",Khalid Boulahrouz,,21,D,RKC Waalwijk,21,13  08,2005
219,Berlin,German,Hamburger SV,13-01-72,5'11'',Stefan  Beinlich,,22,M,Hertha  Berlin,22,11  11,2005
