,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
24,Bellshill,Scottish,Aberdeen,28-04-87,"6'02""",Greg Kelly,,30.0,G,Aberdeen Youths,30,12  00,2005
25,Belfast,Scottish,Aberdeen,10-08-77,"5'10""",Danny Griffin,,31.0,D,Stockport Co,31,10  02,2005
26,,Scottish,Aberdeen,,,Martin Skinner,,33.0,,,33,,2005
27,,Scottish,Aberdeen,,,Mark Thomas,,34.0,,,34,,2005
28,Siedlce,Scottish,Celtic,20-02-80,"6'04""",Artur Boruc,,1.0,G,Legia  Warszawa,1,13  12,2005
29,Edinburgh,Scottish,Celtic,21-10-71,"5'09""",Paul Telfer,,2.0,M,Southampton,2,11 06,2005
30,Conakry,Scottish,Celtic,25-06-75,"5'11""",Mohamed Camara,,3.0,D,Burnley,3,11 09,2005
31,Brighton,Scottish,Celtic,25-01-83,"6'01""",Adam Virgo,,4.0,D,Brighton & HA,4,13  12,2005
32,Marseille,Scottish,Celtic,13-10-75,"6'03""",Bobo Balde,,6.0,D,Toulouse,6,13 06,2005
33,Poznan,Scottish,Celtic,12-09-76,"5'11""",Maciej  Zurawski,,7.0,F,Wisla  Krakow,7,12  00,2005
34,Newcastle,Scottish,Celtic,22-12-73,"6'00""",Alan Thompson,,8.0,M,Aston Villa,8,13 11,2005
35,Leicester,Scottish,Celtic,22-04-69,"6'02""",Dion Dublin,,9.0,F,Leicester  C,9,12 04,2005
36,Swansea,Scottish,Celtic,05-04-75,"6'00""",John Hartson,,10.0,F,Coventry C,10,13 00,2005
37,Lanark,Scottish,Celtic,02-10-82,6'00'',Stephen Pearson,,11.0,M,Motherwell,11,11 01,2005
38,Glasgow,Scottish,Celtic,05-06-84,"5'11""",Mark  Wilson,,12.0,D,Dundee U,12,11  13,2005
39,Cork,Scottish,Celtic,10-08-71,"5'11""",Roy Keane,,16.0,M,Manchester  U,16,12 01,2005
40,Lurgan,Scottish,Celtic,25-06-71,"5'09""",Neil Lennon,,18.0,M,Leicester C,18,12 02,2005
41,Montana,Scottish,Celtic,05-07-79,"5'09""",Stilian Petrov,,19.0,M,CSKA Sofia,19,12 01,2005
42,Glasgow,Scottish,Celtic,05-03-85,"6'03""",David  Marshall,,22.0,G,Celtic  BC,22,13  00,2005
43,Lipany,Scottish,Celtic,08-10-72,6'05'',Stanislav  Varga,,23.0,D,Sunderland,23,14  09,2005
44,Kanagawa,Scottish,Celtic,24-06-78,"5'10""",Shunsuke Nakamura,,25.0,M,Reggina,25,10  12,2005
45,Mirri,Scottish,Celtic,24-01-83,5'07'',Shaun Maloney,,29.0,F,Albion BC,29,10  02,2005
46,Dundee,Scottish,Celtic,23-05-85,"5'06""",Ross  Wallace,,33.0,F,Celtic  BC,33,10  00,2005
47,Aberdeen,Scottish,Celtic,15-05-84,"5'09""",Paul  Lawson,,35.0,M,None,35,11  10,2005
48,Glasgow,Scottish,Celtic,16-01-84,"6'00""",Craig  Beattie,,37.0,F,Rangers  S Form,37,11  07,2005
49,Glasgow,Scottish,Celtic,07-09-86,"5'11""",Rocco  Quinn,,38.0,D,None,38,12  00,2005
50,Dundee,Scottish,Celtic,23-01-86,"5'07""",Michael  Gardyne,,40.0,F,None,40,10 00,2005
51,Bellshill,Scottish,Celtic,18-08-83,"6'01""",John Kennedy,,41.0,D,Celtic BC,41,12 06,2005
52,Glasgow,Scottish,Celtic,07-01-86,"5'08""",Michael  McGlinchey,,42.0,F,None,42,09  06,2005
53,Lanark,Scottish,Celtic,10-09-82,"6'02""",Stephen  McManus,,44.0,D,None,43,13  00,2005
54,Glasgow,Scottish,Celtic,04-04-86,"5'10""",Aidan  McGeady,,46.0,M,None,44,11  04,2005
55,Enniskillen,Scottish,Celtic,12-07-84,"6'02""",Michael  McGovern,,47.0,G,Celtic  BC,45,14  00,2005
56,Dublin,Scottish,Celtic,04-02-87,"6'01""",Darren  O'Dea,,48.0,D,Home  Farm,46,13  00,2005
57,Alexandria,Scottish,Celtic,15-06-87,"6'02""",Scott  Cuthbert,,49.0,D,None,47,14  00,2005
58,Dundee,Scottish,Celtic,11-01-88,"5'08""",Simon  Ferry,,53.0,M,None,48,11  00,2005
59,Bellshill,Scottish,Celtic,07-10-87,"5'07""",Paul McGowan,,54.0,F,None,49,10 02,2005
60,Irvine,Scottish,Dundee United,03-12-73,"6'00""",Derek Stillie,,1.0,G,Dunfermline  Ath,1,12 00,2005
61,Glasgow,Scottish,Dundee United,16-10-81,"6'02""",David McCracken,,3.0,D,Dundee U BC,3,11 06,2005
62,Paisley,Scottish,Dundee United,05-07-71,"5'07""",Derek McInnes,,4.0,M,WBA,4,11 04,2005
63,Glasgow,Scottish,Dundee United,13-12-77,"5'09""",Alan Archibald,,5.0,D,Partick Thistle,5,11 07,2005
64,Glasgow,Scottish,Dundee United,06-03-83,"6'03""",Charles Mulgrew,,6.0,D,Celtic,6,13  01,2005
65,Bellshill,Scottish,Dundee United,02-03-82,"6'00""",Mark Kerr,,7.0,M,Falkirk,7,10  03,2005
66,Edinburgh,Scottish,Dundee United,06-12-77,"5'10""",Grant Brebner,,8.0,M,Hibernian,8,11 11,2005
67,Lanark,Scottish,Dundee United,18-05-83,"6'02""",Lee Miller,,9.0,F,Bristol C,9,11  07,2005
68,Alexandria,Scottish,Dundee United,24-05-72,"5'11""",Jim McIntyre,,10.0,F,Reading,10,12 00,2005
69,Aberdeen,Scottish,Dundee United,07-11-78,"6'00""",Barry Robson,,11.0,M,Inverness CT,11,12 00,2005
70,Aberdeen,Scottish,Dundee United,23-01-82,"5'11""",Stuart Duff,,12.0,M,Dyce BC,12,10  03,2005
71,Aberdeen,Scottish,Dundee United,09-12-80,"6'00""",Lee Mair,,15.0,D,Stockport Co,15,11  03,2005
72,Dundee,Scottish,Dundee United,13-12-66,"6'01""",Craig Brewster,,16.0,F,Inverness  CT,16,12 09,2005
73,Irvine,Scottish,Dundee United,01-04-84,"6'02""",Craig Samson,,17.0,G,Kilmarnock,17,12  07,2005
74,Dundee,Scottish,Dundee United,21-06-87,"6'04""",Gary Kenneth,,18.0,D,None,18,13  02,2005
75,Corvina,Scottish,Dundee United,20-01-76,5'09'',David Fernandez,,20.0,F,Celtic,20,11 06,2005
76,North Manzanilla,Scottish,Dundee United,27-08-81,"5'10""",Colin Samuel,,21.0,F,Falkirk,21,12  07,2005
77,Kirkcaldy,Scottish,Dundee United,21-08-75,"5'11""",Paul Ritchie,,23.0,D,Walsall,23,12 00,2005
78,Bangour,Scottish,Dundee United,23-09-86,"5'10""",David Robertson,,25.0,M,None,25,10  00,2005
79,Dundee,Scottish,Dundee United,10-04-88,"5'09""",Greg Cameron,,26.0,M,None,26,10  09,2005
80,Glasgow,Scottish,Dundee United,30-11-86,"5'08""",Barry Callaghan,,27.0,D,None,27,09  07,2005
81,Bellshill,Scottish,Dundee United,30-12-86,"5'11""",Ross Gardiner,,28.0,D,None,28,09  10,2005
82,Dundee,Scottish,Dundee United,21-06-86,"5'07""",Stuart Abbot,,29.0,D,None,29,10  00,2005
83,Rutherglen,Scottish,Dundee United,17-07-86,"5'07""",William Easton,,30.0,F,None,30,09  05,2005
84,Kilmarnock,Scottish,Dundee United,09-01-86,"6'03""",Euan McLean,,31.0,G,Sunderland,31,13  07,2005
85,,Scottish,Dundee United,,,Keith Watson,,32.0,D,,32,,2005
86,Bangour,Scottish,Dundee United,24-05-87,"5'08""",Gregg Burnett,,33.0,M,None,33,09  12,2005
87,Bellshill,Scottish,Dundee United,28-10-87,"5'07""",Kieran McAleenan,,34.0,D,None,34,09  12,2005
88,Bellshill,Scottish,Dundee United,12-08-88,"5'10""",Marco Andreoni,,35.0,M,None,35,09  08,2005
89,Stirling,Scottish,Dundee United,28-03-89,"5'09""",David Goodwillie,,36.0,F,,36,,2005
90,,Scottish,Dundee United,28-02-89,"5'10""",Billy Russell,,37.0,M,,37,,2005
91,Glasgow,Scottish,Dundee United,27-06-88,"5'08""",David Gray,,40.0,M,,40,,2005
92,Ayr,Scottish,Dundee United,25-05-88,"6'01""",Jamie Donnelly,,41.0,D,,41,,2005
93,Glasgow,Scottish,Dundee United,,"5'08""",Matti Flynn,,42.0,M,,42,,2005
94,,Scottish,Dundee United,24-07-89,"5'09""",Ryan O'Hara,,43.0,M,Swindon T,43,,2005
95,Glasgow,Scottish,Dundee United,29-05-89,"6'03""",John Gibson,,44.0,G,,44,,2005
96,Edinburgh,Scottish,Dunfermline Athletic,31-01-82,6'00'',Allan McGregor,,1.0,G,Rangers,1,11  09,2005
97,Falkirk,Scottish,Dunfermline Athletic,21-08-76,"5'09""",Greg Shields,,2.0,D,Kilmarnock,2,10 10,2005
98,Edinburgh,Scottish,Dunfermline Athletic,19-03-77,"6'01""",Scott Wilson,,3.0,D,Rangers,3,13 08,2005
99,Glasgow,Scottish,Dunfermline Athletic,13-10-78,"5'09""",Darren  Young,,4.0,M,Aberdeen,4,10  05,2005
100,Bellshill,Scottish,Dunfermline Athletic,15-04-83,"5'10""",Jamie  McCunnie,,5.0,D,Ross Co,5,10  11,2005
101,Aberdeen,Scottish,Dunfermline Athletic,29-01-72,"5'10""",Scott M Thomson,,6.0,D,Raith R,6,11 04,2005
102,Gliwice,Scottish,Dunfermline Athletic,14-05-75,"6'03""",Bartosz Tarachulski,,7.0,F,Yeovil  T,7,13  01,2005
103,Edinburgh,Scottish,Dunfermline Athletic,15-10-79,"5'08""",Gary Mason,,8.0,M,Manchester C,8,10 01,2005
104,Broxburn,Scottish,Dunfermline Athletic,18-08-80,"5'08""",Mark Burchill,,9.0,F,Hearts,9,09 09,2005
105,Sunderland,Scottish,Dunfermline Athletic,11-01-73,"5'10""",Lee Makel,,10.0,M,Plymouth Arg,10,11 04,2005
106,Glasgow,Scottish,Dunfermline Athletic,27-05-80,"5'09""",Derek  Young,,11.0,F,Aberdeen,11,09  12,2005
107,Aberdeen,Scottish,Dunfermline Athletic,23-05-84,"5'08""",Scott  Morrison,,12.0,D,Aberdeen,12,11  03,2005
108,Glasgow,Scottish,Dunfermline Athletic,01-12-74,"5'09""",Simon  Donnelly,,14.0,M,St  Johnstone,14,10  12,2005
109,Ajaccio,Scottish,Dunfermline Athletic,03-09-77,"6'02""",Yannick  Zamberdini,,15.0,D,La Louvière,15,12  04,2005
110,Waterford,Scottish,Dunfermline Athletic,26-12-82,"5'08""",Noel  Hunt,,16.0,F,Shamrock  R,16,11  05,2005
111,Akranes,Scottish,Dunfermline Athletic,25-04-83,"6'00""",Garðar Gunnlaugsson,,17.0,F,Valur,17,11 09,2005
112,Dunfermline,Scottish,Dunfermline Athletic,04-11-71,"6'03""",Andy Tod,,18.0,D,Bradford C,18,12  06,2005
113,Middlesbrough,Scottish,Dunfermline Athletic,27-11-83,"5'11""",Aaron  Labonte,,19.0,D,Newcastle  U,19,10  10,2005
114,Epsom,Scottish,Dunfermline Athletic,01-10-80,"5'11""",Bryn Halliwell,,20.0,G,Clyde,20,12  00,2005
115,Madrid,Scottish,Dunfermline Athletic,20-04-85,"6'04""",Martín Camaño,,21.0,D,Albacete B,21,14  00,2005
116,Dunfermline,Scottish,Dunfermline Athletic,28-05-86,"5'08""",Craig  Wilson,,22.0,F,None,22,10  02,2005
117,Edinburgh,Scottish,Dunfermline Athletic,02-05-87,"6'01""",Greg Ross,,23.0,D,None,23,11  00,2005
118,Middlesbrough,Scottish,Dunfermline Athletic,18-04-79,"6'00""",Andy Campbell,,24.0,F,Cardiff C,24,11 13,2005
119,Kirkcaldy,Scottish,Dunfermline Athletic,28-06-85,"5'09""",Iain  Campbell,,25.0,D,None,25,10  12,2005
120,Bordeaux,Scottish,Dunfermline Athletic,23-09-78,"6'02""",Frédéric  Daquin,,26.0,F,Rouen,26,12  08,2005
121,Glasgow,Scottish,Dunfermline Athletic,27-02-82,"6'00""",Stephen Simmons,,27.0,M,Hearts,27,11 10,2005
122,Paisley,Scottish,Dunfermline Athletic,01-06-84,"6'00""",Scott  Muirhead,,28.0,M,Aberdeen,28,11  00,2005
123,Edinburgh,Scottish,Dunfermline Athletic,31-07-86,"6'02""",Sean Murdoch,,30.0,G,None,30,11  10,2005
124,Dunfermline,Scottish,Dunfermline Athletic,06-08-88,"5'11""",Clark Kay,,31.0,D,None,31,10  01,2005
125,Edinburgh,Scottish,Dunfermline Athletic,19-04-87,"5'10""",John  Dunn,,32.0,F,None,32,11  04,2005
126,Broxburn,Scottish,Dunfermline Athletic,03-08-87,"5'10""",Chris  Anderson,,33.0,M,None,33,11  05,2005
127,Edinburgh,Scottish,Dunfermline Athletic,05-02-87,"6'02""",Steven  Vinter,,34.0,D,None,34,10  06,2005
128,Paisley,Scottish,Dunfermline Athletic,28-08-87,"5'09""",David  Armour,,35.0,M,None,35,09  03,2005
129,Dunfermline,Scottish,Dunfermline Athletic,07-09-87,"5'08""",Dean Ogg,,36.0,F,None,36,10  02,2005
130,,Scottish,Dunfermline Athletic,14-10-87,,Nicky  Phinn,,37.0,M,,37,,2005
131,,Scottish,Dunfermline Athletic,11-03-88,,Calum  Smith,,38.0,F,,38,,2005
132,,Scottish,Dunfermline Athletic,,,Ian  Williamson,,39.0,M,,39,,2005
133,,Scottish,Dunfermline Athletic,16-09-89,,Greg Paterson,,40.0,G,,40,,2005
134,,Scottish,Dunfermline Athletic,06-03-88,,David Muir,,41.0,M,,41,,2005
135,,Scottish,Dunfermline Athletic,25-02-88,,Alan McDonough,,42.0,F,,42,,2005
136,,Scottish,Dunfermline Athletic,23-06-88,,Neil Fenwick,,43.0,D,,43,,2005
137,,Scottish,Dunfermline Athletic,15-03-89,,Derek Howie,,44.0,D,,44,,2005
138,,Scottish,Dunfermline Athletic,03-09-87,,Peter Shaw,,45.0,G,,45,,2005
139,,Scottish,Dunfermline Athletic,31-07-88,,Sean Muhsin,,46.0,M,,46,,2005
140,,Scottish,Dunfermline Athletic,29-08-87,,Max  Ian-Josef Cream,,47.0,F,Dundee U,47,,2005
141,Dunfermline,Scottish,Dunfermline Athletic,31-01-88,"5'09""",Patrick  Halpin,,48.0,D,Hibernian,48,11  01,2005
142,Lanark,Scottish,Falkirk,21-03-69,"5'11""",Allan Ferguson,,1.0,G,Airdrieonians,1,13 00,2005
143,Galashiels,Scottish,Falkirk,24-11-78,"6'00""",Andy Lawrie,,2.0,D,Falkirk Youth,2,12 06,2005
144,Greenock,Scottish,Falkirk,27-03-71,"5'10""",Craig McPherson,,3.0,D,Airdrieonians,3,11 06,2005
145,Dublin,Scottish,Falkirk,21-02-86,"5'09""",Patrick  Cregg,,4.0,M,Arsenal,4,10  04,2005
146,Falkirk,Scottish,Falkirk,05-06-76,"6'01""",Jack Ross,,5.0,M,Hartlepool U,5,11  05,2005
147,Dundee,Scottish,Falkirk,29-11-75,"6'03""",Craig Ireland,,6.0,D,Peterborough U,6,13 09,2005
148,Oporto,Scottish,Falkirk,09-09-79,"5'11""",Pedro Moutinho,,7.0,F,Penafiel,7,12 08,2005
149,Glasgow,Scottish,Falkirk,09-10-82,"6'00""",Alan Gow,,8.0,M,Airdrie  U,8,12 00,2005
150,Glasgow,Scottish,Falkirk,20-07-87,"6'00""",Graeme  Churchill,,9.0,F,,9,11 00,2005
151,Laventille,Scottish,Falkirk,02-08-68,"5'07""",Russell Latapy,,10.0,M,Dundee United,10,11 04,2005
152,Port  of Spain,Scottish,Falkirk,27-06-82,"5'10""",Densill  Theobald,,11.0,M,Caledonia  AIA,11,,2005
153,Paisley,Scottish,Falkirk,14-08-78,"5'11""",Neil Scally,,12.0,M,Dumbarton,12,12 07,2005
154,Southwark,Scottish,Falkirk,21-09-86,"6'02""",Mark  Howard,,13.0,G,Arsenal,13,12 00,2005
155,Bellshill,Scottish,Falkirk,04-12-85,"6'01""",Ryan McStay,,14.0,M,Falkirk Youth,14,10 00,2005
156,Stirling,Scottish,Falkirk,26-08-79,"6'02""",Kenny Milne,,15.0,M,Partick  Thistle,15,12 08,2005
157,Edinburgh,Scottish,Falkirk,07-06-84,"5'11""",Ian MacSween,,16.0,F,Falkirk Youth,16,11 00,2005
158,Falkirk,Scottish,Falkirk,03-12-81,"6'01""",Darren Hill,,17.0,G,Falkirk  BC,17,12 03,2005
159,Guimarães,Scottish,Falkirk,10-08-81,,Vitor Manuel Lima Santos,,18.0,M,Académica De Viseu,18,,2005
160,Burnley,Scottish,Falkirk,23-04-77,"6'01""",Daniel McBreen,,19.0,F,Universitatea Craiova,19,13 00,2005
161,Glasgow,Scottish,Falkirk,17-03-85,"5'10""",Darren Barr,,20.0,M,Falkirk Youth,20,10 04,2005
162,Cayenne,Scottish,Falkirk,02-10-86,"6'02""",Jean-François  Lecsinel,,21.0,M,Sedan,21,12  04,2005
163,Glasgow,Scottish,Falkirk,23-01-78,"5'08""",Steven Thomson,,22.0,M,Peterborough U,22,10 04,2005
164,Glasgow,Scottish,Falkirk,27-08-86,"6'01""",Marc Twaddle,,23.0,M,Rangers,23,12 00,2005
165,Edinburgh,Scottish,Falkirk,09-09-64,"6'00""",John Hughes,,24.0,D,Ayr  U,24,13  07,2005
166,Oporto,Scottish,Falkirk,01-12-83,"6'00""",Tiago Jonas Rodrigues,,25.0,D,FC Infesta,25,12  00,2005
167,Edinburgh,Scottish,Falkirk,27-12-86,"6'00""",Liam  Craig,,26.0,M,Ipswich T,26,12  13,2005
168,"Southport,  Gold C",Scottish,Falkirk,13-11-80,"6'02""",Karl  Dodd,,27.0,D,Universitatea Craiova,27,13  10,2005
169,Galway,Scottish,Falkirk,15-01-86,"5'09""",Stephen  O'Donnell,,28.0,M,Arsenal,28,11  02,2005
170,Edinburgh,Scottish,Falkirk,25-02-86,"5'09""",Stephen  Manson,,29.0,F,Hibernian,29,10  02,2005
171,,Scottish,Falkirk,,,Thomas  Scobie,,33.0,D,,33,,2005
172,Edinburgh,Scottish,Heart of Midlothian,31-12-82,"6'04""",Craig Gordon,,1.0,G,Hearts BC,1,12  02,2005
173,Paisley,Scottish,Heart of Midlothian,19-06-80,"5'08""",Robbie Neilson,,2.0,D,Rangers BC,2,11 00,2005
174,Athens,Scottish,Heart of Midlothian,12-06-73,"6'02""",Fyssas  Panagiotis,,3.0,D,Benfica,3,12  08,2005
175,Elgin,Scottish,Heart of Midlothian,11-10-73,"6'00""",Steven Pressley,,4.0,D,Dundee U,4,12 06,2005
176,Caxias do Sul,Scottish,Heart of Midlothian,30-08-82,"5'10""",Camazzola,,5.0,M,Juventude,5,11 07,2005
177,Dundee,Scottish,Heart of Midlothian,23-04-82,"6'00""",Andy Webster,,6.0,D,Arbroath,6,10 00,2005
178,Aberdeen,Scottish,Heart of Midlothian,22-03-77,"5'10""",Dennis Wyness,,7.0,F,Inverness CT,7,11  04,2005
179,Trutnov,Scottish,Heart of Midlothian,17-07-79,"5'10""",Rudolf Skacel,,8.0,D,Marseille,8,12 01,2005
180,Vilnius,Scottish,Heart of Midlothian,12-03-75,6'04'',Edgaras Jankauskas,,9.0,F,FBK  Kaunas,9,13  08,2005
181,Glasgow,Scottish,Heart of Midlothian,19-10-76,"5'08""",Paul Hartley,,10.0,M,St Johnstone,10,10  00,2005
182,Zivinice,Scottish,Heart of Midlothian,06-07-79,"6'00""",Mirsad Beslija,,11.0,D,KRC Genk,11,11 11,2005
183,Prague,Scottish,Heart of Midlothian,26-03-83,"6'03""",Roman  Bednar,,12.0,F,FBK  Kaunas,12,13  03,2005
184,Hillingdon,Scottish,Heart of Midlothian,09-02-72,6'00'',Steve Banks,,13.0,G,Gillingham,13,13 02,2005
185,Glasgow,Scottish,Heart of Midlothian,26-04-78,"5'11""",Jamie McAllister,,14.0,D,Livingston,14,11  00,2005
186,Oxford,Scottish,Heart of Midlothian,01-03-83,"6'00""",Chris Hackett,,15.0,M,Oxford  U,15,11 06,2005
187,viesa,Scottish,Heart of Midlothian,02-05-84,"5'10""",Saulius Mikoliūnas,,16.0,F,FBK Kaunas,16,12  00,2005
188,Harthill,Scottish,Heart of Midlothian,10-07-84,"5'07""",Graham Weir,,17.0,F,Hearts BC,17,10  09,2005
189,Kurėnai,Scottish,Heart of Midlothian,30-06-81,"5'11""",Deividas Česnauskis,,18.0,M,FBK Kaunas,18,12  02,2005
190,Bellshill,Scottish,Heart of Midlothian,17-08-87,"5'11""",John Neill,,19.0,M,Hearts Yth,19,11  04,2005
191,Edinburgh,Scottish,Heart of Midlothian,31-01-85,"6'01""",Christophe Berra,,20.0,D,Hearts Yth,20,12  10,2005
192,Prague,Scottish,Heart of Midlothian,03-05-79,"6'01""",Michal Pospíil,,21.0,F,Slovan  Liberec,21,12  08,2005
193,Edinburgh,Scottish,Heart of Midlothian,01-08-87,"5'11""",Lee Wallace,,22.0,M,Hearts Yth,22,11  12,2005
194,Edinburgh,Scottish,Heart of Midlothian,09-04-86,"6'03""",Craig Sives,,23.0,D,Hearts Yth,23,12  02,2005
195,Bellshill,Scottish,Heart of Midlothian,19-03-86,"5'11""",Garry Tierney,,24.0,D,Hearts Yth,24,11  05,2005
196,Broxburn,Scottish,Heart of Midlothian,17-04-86,"6'01""",Jamie MacDonald,,25.0,G,Hearts Yth,25,11  02,2005
197,Edinburgh,Scottish,Heart of Midlothian,30-03-87,"6'00""",Calum Elliot,,26.0,F,Hearts Yth,26,12  06,2005
198,Reykjavik,Scottish,Heart of Midlothian,16-02-86,"6'00""",Hjálmar Þórarinsson,,27.0,F,Þróttur,27,11  05,2005
199,Echirolles,Scottish,Heart of Midlothian,10-01-82,"5'09""",Julien Brellier,,28.0,M,Venezia,28,12 08,2005
200,Aubervilliers,Scottish,Heart of Midlothian,23-06-81,"6'00""",Ibrahim Tall,,29.0,D,Sochaux,29,11 09,2005
201,Edinburgh,Scottish,Heart of Midlothian,22-04-86,"5'10""",Marco Pelosi,,30.0,D,Hearts Yth,30,11  12,2005
202,Newmarket,Scottish,Heart of Midlothian,07-06-81,5'06'',Lee Johnson,,31.0,M,Yeovil  T,31,10 07,2005
203,,Scottish,Heart of Midlothian,01-06-78,"6'00""",Nerijus  Barasa,,32.0,D,FBK  Kaunas,32,12  13,2005
204,Greenock,Scottish,Heart of Midlothian,11-08-74,"5'11""",Neil  McCann,,33.0,M,Southampton,33,10  04,2005
205,,Scottish,Heart of Midlothian,17-09-85,,José  Gonçalves,,34.0,D,FBK  Kaunas,34,,2005
206,Oulu,Scottish,Heart of Midlothian,23-06-83,6'03'',Juho Mäkelä,,35.0,F,HJK  Helsinki,35,12 13,2005
207,Lisbon,Scottish,Heart of Midlothian,24-02-81,"5'10""",Bruno Aguiar,,36.0,M,FBK  Kaunas,36,11 11,2005
208,,Scottish,Heart of Midlothian,19-04-77,"5'10""",Luděk Stracený,,37.0,M,FBK  Kaunas,37,,2005
209,Prievidza,Scottish,Heart of Midlothian,02-11-79,"6'01""",Martin Petrá,,38.0,D,FBK  Kaunas,38,12 13,2005
210,Oldham,Scottish,Heart of Midlothian,12-11-87,"5'09""",Andrew Driver,,41.0,M,Hearts Yth,41,10  10,2005
211,Bellshill,Scottish,Heart of Midlothian,12-03-88,,Alan Lithgow,,47.0,D,East Kilbride Burgh,42,,2005
212,Chelmsford,Scottish,Hibernian,03-12-76,"6'02""",Simon Brown,,1.0,G,Colchester U,1,15 01,2005
213,Ediburgh,Scottish,Hibernian,16-06-84,"6'01""",Steven Whittaker,,2.0,D,Star A,2,13 09,2005
214,Hartlepool,Scottish,Hibernian,01-06-84,6'01'',David Murphy,,3.0,D,Middlesbrough,3,12 03,2005
215,Stirling,Scottish,Hibernian,12-04-82,"5'11""",Gary Caldwell,,4.0,D,Newcastle  U,4,11 10,2005
216,Glasgow,Scottish,Hibernian,25-03-71,"6'00""",Gary Smith,,5.0,D,Aberdeen,5,12 03,2005
217,Edinburgh,Scottish,Hibernian,26-02-81,"5'11""",Michael Stewart,,6.0,M,Manchester  U,6,11 11,2005
218,Dunfermline,Scottish,Hibernian,26-06-85,"5'09""",Scott  Brown,,7.0,M,S Form,7,11  04,2005
219,Edinburgh,Scottish,Hibernian,14-10-84,"5'11""",Kevin Thomson,,8.0,M,S Form,8,11  04,2005
220,Edinburgh,Scottish,Hibernian,16-01-83,5'11'',Derek Riorodan,,10.0,F,Hutchison Vale,10,10 04,2005
221,Dundee,Scottish,Hibernian,23-05-76,"5'08""",Stephen Glass,,11.0,M,Watford,11,10  11,2005
222,Londonderry,Scottish,Hibernian,03-03-85,"6'00""",Sam Morrow,,13.0,F,Ipswich T,13,12  03,2005
223,Le  Havre,Scottish,Hibernian,14-04-79,"6'00""",Guillaume Beuzelin,,14.0,M,Le  Havre,14,11 13,2005
