,Birth Place,Country League,Current Club,Date of Birth,Height,Name,Nat,Number,Pos,Previous Club,Unnamed: 0,Weight,Year
63,,Danish,Brøndby,11-05-76,"5'10""",Kaspar Dalgas,,11,F,Odense,11,11 05,2005
64,,Danish,Brøndby,03-05-83,"6'01""",Jonas Kamper,,12,F,Nykøbing,12,12 01,2005
65,Holbæk,Danish,Brøndby,07-11-75,"6'00""",Stefan Schmidt,,13,M,Aalborg,13,11 11,2005
66,,Danish,Brøndby,02-05-79,"5'11""",Joseph Elanga,,14,M,Malmö,14,11 07,2005
67,,Danish,Brøndby,16-01-72,"6'01""",Ruben Bagger,,15,F,Roskilde,15,14 02,2005
68,,Danish,Brøndby,09-11-79,"6'04""",Casper Ankergren,,16,G,Køge,16,14 11,2005
69,,Danish,Brøndby,31-01-85,"6'01""",Morten Rasmussen,,17,F,Aarhus,17,12 01,2005
70,,Danish,Brøndby,18-03-85,"6'00""",Henrik Kildentoft,,18,D,Rosenhøj,18,12 00,2005
71,Alingsas,Danish,Brøndby,27-05-81,"6'02""",Johan Elmander,,19,F,Feyenoord,19,12 06,2005
72,,Danish,Brøndby,17-01-79,"6'00""",Asbjørn Sennels,,20,D,Viborg,20,12 00,2005
73,,Danish,Brøndby,16-04-77,6'00'',Thomas Rasmussen,,21,M,Hansa Rostock,21,11 07,2005
74,Kristiansund,Danish,Brøndby,06-01-75,"6'02""",Trond Andersen,,23,D,Aalborg,23,11 11,2005
75,,Danish,Brøndby,16-09-85,"5'10""",Johan Absalonsen,,24,F,B1913 Odense,24,11 00,2005
76,Frederiksvaerk,Danish,Brøndby,08-05-80,"6'02""",Kim Christensen,,25,F,FC Twente,25,12 08,2005
77,Rymogaard,Danish,Brøndby,10-02-79,"6'00""",Mads Jørgensen,,26,M,Stabæk,26,10 10,2005
78,Ølstykke,Danish,Esbjerg,04-05-71,"6'02""",Jan Hoffmann,,1,G,FC Nordsjælland,1,13 01,2005
79,,Danish,Esbjerg,23-02-83,"5'09""",Frank Hansen,,2,D,Ølstykke,2,11 00,2005
80,,Danish,Esbjerg,26-07-77,"6'02""",Anders Møller Christensen,,3,D,KAA Gent,3,11 09,2005
81,,Danish,Esbjerg,06-04-82,"6'02""",Kolja Afriyie,,4,D,Horsens,4,13 03,2005
82,,Danish,Esbjerg,01-01-70,"5'10""",Anders Nøhr,,5,M,Horsens,5,11 07,2005
83,,Danish,Esbjerg,19-04-85,"5'09""",Niki Zimling,,6,M,Brøndby,6,12 01,2005
84,Copenhagen,Danish,Esbjerg,30-05-74,"6'00""",Tommy Løvenkrands,,7,M,St Johnstone,7,11 11,2005
85,,Danish,Esbjerg,03-11-83,"6'02""",Lasse Kryger,,8,F,B1913 Odense,8,12 01,2005
86,,Danish,Esbjerg,26-06-79,"6'02""",Njodu Demba-Nyrén,,9,F,Panathinaikos,9,12 08,2005
87,,Danish,Esbjerg,22-10-88,"5'07""",Thiago,,10,M,EC Bahia,10,09 13,2005
88,Borås,Danish,Esbjerg,21-03-79,"5'11""",Fredrik Berglund,,11,F,Roda JC,11,12 08,2005
89,Esbjerg,Danish,Esbjerg,27-07-78,"5'10""",Martin Jensen,,13,D,Spangsbjerg,13,10 10,2005
90,,Danish,Esbjerg,20-03-85,"5'11""",Martin Vingård,,14,M,B1913 Odense,14,11 00,2005
91,,Danish,Esbjerg,23-12-77,"5'09""",Andreas Klarström,,15,M,Elfsborg,15,11 00,2005
92,Aalborg,Danish,Esbjerg,03-12-75,"6'01""",Lars Winde,,16,G,Aalborg,16,11 07,2005
93,,Danish,Esbjerg,17-06-79,"6'02""",Lars Christian Nielsen,,17,F,Saedding-Guldager,17,12 08,2005
94,,Danish,Esbjerg,06-04-85,"5'10""",Morten Friis Jensen,,18,M,Varde,18,11 11,2005
95,,Danish,Esbjerg,09-05-84,"6'00""",Jesper Jørgensen,,19,M,Varde,19,11 05,2005
96,Esbjerg,Danish,Esbjerg,11-08-80,"5'09""",Jerry Lucena,,21,M,None,21,10 10,2005
97,,Danish,Esbjerg,04-06-84,"6'02""",Jesper Grønborg,,23,D,Kvaglund,23,11 11,2005
98,,Danish,Esbjerg,09-11-83,"6'03""",Nikolaj Høgh,,24,D,Næsbjerg RUI,24,12 13,2005
99,Beaumont-sur-Oise,Danish,Esbjerg,18-09-79,"6'00""",Mickaël Murcy,,25,F,La Louvière,25,11 11,2005
100,,Danish,Esbjerg,24-12-77,"5'11""",Søren Barslund,,28,M,FC Midtjylland,28,11 05,2005
101,,Danish,Esbjerg,25-10-85,"6'02""",Jonas Jensen,,40,G,Silkeborg,40,13 08,2005
102,Horsens,Danish,Horsens,01-08-76,"5'11""",Søren Jochumsen,,1,G,Torsted,1,12 06,2005
103,,Danish,Horsens,24-08-77,"6'02""",Per Gade,,2,D,FC Nordsjælland,2,13 12,2005
104,,Danish,Horsens,16-10-81,"6'01""",Martin Halle,,3,D,Aarhus Fremad,3,12 13,2005
105,Aarhus,Danish,Horsens,20-07-73,"6'03""",Mads Rieper,,4,D,Aarhus,4,12 13,2005
106,,Danish,Horsens,17-09-79,"6'03""",Steffen Algreen,,5,D,Hedensted,5,13 08,2005
107,Horsens,Danish,Horsens,18-09-75,"6'02""",Johan Byriel Hansen,,6,D,Fredericia,6,13 01,2005
108,,Danish,Horsens,10-04-81,"6'03""",Lasse Holmgaard,,7,M,Skjold,7,11 09,2005
109,Kadunin,Danish,Horsens,20-01-75,"6'03""",Abdul Sule,,8,F,Køge,8,13 01,2005
110,,Danish,Horsens,08-03-82,"6'00""",Simon Elbæk Jensen,,9,F,Beder-Malling,9,11 11,2005
111,,Danish,Horsens,20-01-78,"5'09""",Allan Søgaard,,10,M,Middelfart,10,11 09,2005
112,,Danish,Horsens,14-06-80,"6'02""",Niels Lodberg,,11,F,FC Nordsjælland,11,12 00,2005
113,,Danish,Horsens,28-02-83,"5'07""",Martin Heinze,,12,M,Esbjerg,12,10 12,2005
114,,Danish,Horsens,01-01-70,"6'02""",Søren Friis,,14,M,Stensballe,14,12 08,2005
115,,Danish,Horsens,20-12-82,"5'10""",Kasper Klausen,,15,M,Skjold,15,11 07,2005
116,,Danish,Horsens,29-07-85,"6'00""",Besart Berisha,,16,F,Hamburg,16,12 00,2005
117,,Danish,Horsens,02-03-83,"5'11""",Miki Rasmussen,,18,F,None,18,12 04,2005
118,,Danish,Horsens,26-04-82,"6'00""",Steffen Ernemann,,19,M,Aarhus,19,12 01,2005
119,Hvidovre,Danish,Horsens,14-06-78,"6'01""",Rasmus Marvits,,20,D,Køge,20,11 05,2005
120,,Danish,Horsens,22-06-80,"6'02""",Kenneth Merrild,,21,G,Viborg,21,13 12,2005
121,,Danish,Horsens,15-01-86,"5'09""",Rune Graugaard,,22,M,Hatting/Torsted,22,11 03,2005
122,Banka Batang,Danish,Horsens,25-03-82,"5'09""",Joel Tchami,,23,F,Hapoel Kfar-Saba,23,11 00,2005
123,,Danish,Horsens,28-01-85,"5'07""",Jonas Truelsen,,24,M,None,24,11 09,2005
124,,Danish,Horsens,30-12-85,"5'07""",Jacob Fynboe,,25,M,None,25,10 12,2005
125,Accra,Danish,Horsens,12-03-74,5'11'',Charles Akonnor,,26,M,Unterhaching,26,10 12,2005
126,Roskilde,Danish,FC København,24-04-78,"6'04""",Jesper Christiansen,,1,G,Viborg,1,13 12,2005
127,Odense,Danish,FC København,20-09-79,5'11'',Lars Jacobsen,,2,D,Hamburg,2,11 11,2005
128,,Danish,FC København,08-06-78,"5'10""",Urmas Rooba,,3,D,FC Midtjylland,3,11 11,2005
129,Houston,Danish,FC København,20-06-81,"6'05""",Brede Paulsen Hangeland,,5,D,Viking,5,13 05,2005
130,Marseille,Danish,FC København,24-04-79,"5'10""",Tobias Linderoth,,6,M,Everton,6,11 08,2005
131,São Paulo,Danish,FC København,30-01-80,"5'11""",Álvaro Santos,,7,F,Helsingborg,7,11 03,2005
132,Aalborg,Danish,FC København,07-07-81,"6'00""",Michael Silberbauer,,8,M,Aalborg,8,11 11,2005
133,Lagos,Danish,FC København,28-03-77,"6'01""",Peter Ijeh,,9,F,IFK Göteborg,9,13 03,2005
134,Gothenburg,Danish,FC København,05-07-73,5'11'',Marcus Allbäck,,11,F,Hansa Rostock,11,12 02,2005
135,Århus,Danish,FC København,12-03-77,"6'00""",Thomas Røll Larsen,,12,M,Silkeborg,12,12 08,2005
136,,Danish,FC København,08-02-83,"6'02""",Atiba Hutchinson,,13,M,Helsingborg,13,11 00,2005
137,,Danish,FC København,04-03-78,"6'02""",Michael Gravgaard,,14,D,Viborg,14,13 12,2005
138,Oslo,Danish,FC København,22-05-70,6'02'',André Bergdølmo,,15,D,Borussia Dortmund,15,12 01,2005
139,Århus,Danish,FC København,24-03-81,"6'02""",Dan Thomassen,,16,D,Padova,16,12 04,2005
140,Accra,Danish,FC København,30-12-82,"5'08""",Razak Pimpong,,20,F,FC Midtjylland,20,11 00,2005
141,,Danish,FC København,12-02-84,"6'00""",Morten Bertolt,,22,M,Kjøbenhavns BK,22,11 09,2005
142,,Danish,FC København,24-02-85,"6'00""",William Kvist,,23,M,Kjøbenhavns BK,23,12 04,2005
143,,Danish,FC København,03-06-85,"6'00""",Jeppe Brandup,,24,M,Kjøbenhavns BK,24,12 04,2005
144,,Danish,FC København,23-12-85,"6'02""",Martin Bernburg,,27,F,Kjøbenhavns BK,27,12 08,2005
145,Rodovre,Danish,FC København,20-02-84,"6'00""",Martin Bergvold,,28,M,Kjøbenhavns BK,28,11 00,2005
146,,Danish,FC København,14-03-71,"6'03""",Benny Gall,,31,G,Esbjerg,31,14 07,2005
147,,Danish,FC Midtjylland,01-06-76,"6'01""",Anders Rasmussen,,1,G,Horsens,1,12 08,2005
148,Copenhagen,Danish,FC Midtjylland,05-06-87,"6'02""",Magnus Troest,,2,D,Herning KFUM,2,13 03,2005
149,Hvidovre,Danish,FC Midtjylland,18-04-82,"5'11""",Christian Traoré,,5,M,FC København,5,12 06,2005
150,Grindsted,Danish,FC Midtjylland,10-06-73,"5'11""",Søren Skriver,,6,D,Herning Fremad,6,12 08,2005
151,Odense,Danish,FC Midtjylland,11-03-75,"5'11""",Claus Madsen,,7,M,Odense,7,11 07,2005
152,Sønderborg,Danish,FC Midtjylland,01-12-76,"6'00""",David Nielsen,,8,F,Aalborg,8,11 11,2005
153,,Danish,FC Midtjylland,05-09-76,"6'01""",Rasmus Daugaard,,9,D,AB København,9,12 04,2005
154,,Danish,FC Midtjylland,07-10-84,"6'00""",Simon Poulsen,,11,M,Haderslev,11,12 00,2005
155,Hillerød,Danish,FC Midtjylland,26-06-80,"6'00""",Jesper Mikkelsen,,12,M,Ikast,12,11 11,2005
156,Fredericia,Danish,FC Midtjylland,15-02-80,"6'01""",Nicolai Jørgensen,,15,M,Vejle,15,12 08,2005
157,Malmo,Danish,FC Midtjylland,11-05-79,"6'02""",Ola Tidman,,16,G,Sheffield W,16,12 12,2005
158,,Danish,FC Midtjylland,05-05-85,"5'07""",Kwado Poku,,17,F,FC Maamobi,17,10 03,2005
159,Holstebro,Danish,FC Midtjylland,21-10-76,"5'11""",Klaus Kærgård,,18,F,Viborg,18,12 11,2005
160,Brande,Danish,FC Midtjylland,11-06-86,"6'00""",Leon Jessen,,19,M,Ikast,19,11 05,2005
161,Randers,Danish,FC Midtjylland,11-11-80,"6'01""",Svenne Poulsen,,20,M,Randers,20,12 06,2005
162,Greve,Danish,FC Midtjylland,22-10-84,"5'11""",Mikkel Thygesen,,21,M,Frem,21,11 11,2005
163,,Danish,FC Midtjylland,12-04-86,"6'01""",Rasmus Grønberg Hansen,,22,D,Randers,22,12 06,2005
164,Agger,Danish,FC Midtjylland,10-03-73,"6'02""",Frank Kristensen,,23,F,Ikast,23,13 03,2005
165,,Danish,FC Midtjylland,24-05-81,"6'02""",Dennis Sørensen,,24,M,FC Nordsjælland,24,13 03,2005
166,Ringkøbing,Danish,FC Midtjylland,03-04-86,"6'00""",Lasse Heinze,,25,G,Ikast,25,12 04,2005
167,,Danish,FC Midtjylland,18-01-85,"6'00""",Ajilore Oluwafemi,,26,M,FC Maamobi,26,11 07,2005
168,,Danish,FC Midtjylland,07-06-86,"6'01""",Marc Møller,,28,D,Ikast,28,12 04,2005
169,,Danish,FC Midtjylland,03-07-88,"6'03""",Winston Reid,,29,D,SUB Sønderborg,29,13 10,2005
170,Randers,Danish,FC Midtjylland,05-03-81,"5'10""",Ulrik Lindkvist,,31,D,Ikast,31,11 07,2005
171,Herning,Danish,FC Midtjylland,20-10-82,"6'00""",Kristian Bak Nielsen,,32,D,Ikast,32,12 08,2005
172,,Danish,FC Midtjylland,10-12-83,"6'02""",Martin Jungbloot,,33,F,Ikast,33,12 00,2005
173,,Danish,FC Midtjylland,10-02-88,"6'03""",Christian Sivebæk,,34,D,Vejle,34,13 12,2005
174,,Danish,FC Nordsjælland,16-07-79,"6'01""",Kim Christensen,,1,G,Nykobing,1,12 13,2005
175,Copenhagen,Danish,FC Nordsjælland,19-05-81,"5'11""",Michael Ribers,,2,D,Skjold,2,12 11,2005
176,Lagos,Danish,FC Nordsjælland,08-11-78,"5'09""",Bosun Ayeni,,3,M,Frem,3,12 04,2005
177,Copenhagen,Danish,FC Nordsjælland,15-01-83,"5'10""",Anders Alding,,4,M,AB København,4,12 01,2005
178,Copenhagen,Danish,FC Nordsjælland,13-12-82,"6'02""",Francis Dickoh,,5,D,Skjold,5,13 01,2005
179,Copenhagen,Danish,FC Nordsjælland,25-03-79,"5'09""",Morten Karlsen,,6,M,FC Zwolle,6,10 12,2005
180,Lemvig,Danish,FC Nordsjælland,19-04-77,"5'11""",Søren Krogh,,7,M,Frem,7,11 11,2005
181,Copenhagen,Danish,FC Nordsjælland,20-05-82,"6'00""",Allan Olesen,,8,D,Brøndby,8,12 01,2005
182,Modesto,Danish,FC Nordsjælland,13-08-84,"5'11""",Heath Pearce,,12,D,Univ of Portland,12,12  06,2005
183,,Danish,FC Nordsjælland,01-08-85,"6'01""",Kris Stadsgaard,,13,D,AB København,13,12 04,2005
184,,Danish,FC Nordsjælland,04-03-73,"5'11""",Thomas Andreasen,,14,M,Stavnsholt,14,12 00,2005
185,,Danish,FC Nordsjælland,08-03-73,"5'11""",Tommy Olsen,,15,F,Køge,15,12 13,2005
186,,Danish,FC Nordsjælland,17-04-83,"6'02""",Tommy Kristensen,,16,M,Lygnby,16,12 04,2005
187,,Danish,FC Nordsjælland,17-03-82,"5'10""",Anders Due,,17,F,B1901 Nykøbing,17,10 10,2005
188,,Danish,FC Nordsjælland,14-11-76,"6'00""",Henrik Eggerts,,18,M,Køge,18,11 11,2005
189,,Danish,FC Nordsjælland,11-09-73,"6'00""",Kenneth Rasmussen,,19,D,Helsingborg,19,12 04,2005
190,,Danish,FC Nordsjælland,15-11-85,"6'02""",Stephan Petersen,,20,M,Køge,20,12 06,2005
191,,Danish,FC Nordsjælland,16-01-85,"5'10""",Simon Richter,,21,D,Brøndby,21,11 05,2005
192,Frederikssund,Danish,FC Nordsjælland,31-03-85,"6'02""",Jesper  Hansen,,22,G,Ølstykke,22,12  04,2005
193,,Danish,FC Nordsjælland,08-05-85,"6'02""",Daniel Jensen,,23,D,Hillerød,23,12 04,2005
194,,Danish,FC Nordsjælland,20-02-86,"6'02""",Frederik Lassen,,24,F,Hillerød,24,14 02,2005
195,,Danish,FC Nordsjælland,24-07-86,"6'01""",Patrick Wozniacki,,25,F,Køge,25,11 11,2005
196,,Danish,FC Nordsjælland,16-01-85,"5'10""",Jonathan Richter,,26,M,Brøndby,26,11 03,2005
197,Copenhagen,Danish,FC Nordsjælland,19-05-81,"6'00""",Dennis  Bo Mortensen,,27,F,Skjold,27,13  01,2005
198,,Danish,FC Nordsjælland,11-06-85,"6'01""",Danny Olsen,,29,F,AB København,29,11 07,2005
199,,Danish,FC Nordsjælland,17-02-87,"6'00""",Christoffer Haugh,,30,G,Vejle,30,12 13,2005
200,Helsinki,Danish,FC Nordsjælland,10-04-85,"6'04""",Jukka  Santala,,32,F,Rangers,32,13  05,2005
201,Lublin,Danish,Odense,12-01-74,"6'02""",Arkadiusz Onyszko,,1,G,Viborg,1,13 12,2005
202,,Danish,Odense,25-03-77,"6'02""",Jan Tore Ophaug,,2,D,Brann,2,13 08,2005
203,Odense,Danish,Odense,28-02-76,"6'03""",Ulrik Laursen,,3,D,Celtic,3,13 00,2005
204,Sandefjord,Danish,Odense,06-05-75,"6'01""",Morten Fevang,,4,M,Odd,4,13 01,2005
205,,Danish,Odense,14-09-78,"6'00""",Alexander Aas,,6,D,Odd,6,13 05,2005
206,,Danish,Odense,24-05-73,"6'00""",Mwape Miti,,7,F,Power Dynamos,7,12 11,2005
207,,Danish,Odense,15-05-76,"6'01""",Søren Berg,,10,F,Dalum,10,12 08,2005
208,Fortaleza,Danish,Odense,20-07-76,6'00'',José Luiz Junior,,11,F,Watford,11,13 00,2005
209,Lusaka,Danish,Odense,19-08-71,"6'01""",Andrew Tembo,,12,M,Marseille,12,13 03,2005
210,,Danish,Odense,10-08-81,"6'01""",Esben Hansen,,14,M,B1921 Odense,14,12 13,2005
211,,Danish,Odense,27-07-77,"6'01""",Chris Sørensen,,15,D,Vejle,15,12 13,2005
212,,Danish,Odense,01-03-84,"5'11""",Søren Jensen,,16,D,Viborg,16,11 11,2005
213,Copenhagen,Danish,Odense,27-03-79,"6'00""",Martin Borre,,17,M,Køge,17,12 08,2005
214,,Danish,Odense,19-10-79,"5'11""",Magne Sturød,,18,F,Sandefjord,18,11 09,2005
215,,Danish,Odense,06-02-83,"6'00""",Michael Larsen,,19,D,B1913 Odense,19,11 11,2005
216,,Danish,Odense,02-11-86,"5'09""",Anders Torpegaard,,23,M,None,23,10 03,2005
217,Rabat,Danish,Odense,01-02-82,"5'08""",Bouabid Bouden,,24,F,Lens,24,11 04,2005
218,Regstrup,Danish,Odense,01-04-76,"6'00""",Nikolai Stokholm,,25,M,AB København,25,11 07,2005
219,,Danish,Odense,11-01-86,"5'10""",Jesper Lange,,26,F,Oure,26,10 10,2005
220,,Danish,Odense,13-04-84,"6'04""",Anders Lindegaard,,27,G,None,27,12 08,2005
221,,Danish,Odense,04-01-85,"6'04""",Jonas Borring,,29,M,B1913 Odense,29,12 00,2005
222,Sunderland,Danish,Silkeborg,26-08-76,"6'02""",David Preece,,1,G,Aberdeen,1,11 11,2005
223,,Danish,Silkeborg,19-08-82,"6'03""",Jens Berthel Askou,,3,D,Holstebro,3,13 05,2005
224,Silkeborg,Danish,Silkeborg,04-01-81,"6'01""",Anders Veller,,4,D,Hvinningdal,4,12 00,2005
225,,Danish,Silkeborg,04-12-77,"6'01""",Kasper Rasmussen,,5,D,Ikast,5,11 11,2005
226,,Danish,Silkeborg,28-03-82,"6'03""",Bjarni Olafur Eiriksson,,6,D,Valur,6,13 03,2005
227,,Danish,Silkeborg,06-04-71,"5'10""",Peter Degn,,7,M,Vejle,7,12 08,2005
228,Nykøbing Falster,Danish,Silkeborg,22-09-71,"6'00""",Michael Hansen,,8,M,FC Midtjylland,8,13 03,2005
229,Esbjerg,Danish,Silkeborg,17-08-78,"6'00""",Iddi Alkhag,,9,F,Esbjerg,9,12 04,2005
230,,Danish,Silkeborg,20-04-83,"5'10""",Muhammad Akinci,,10,M,Randers Freja,10,11 00,2005
231,Odense,Danish,Silkeborg,11-01-74,"6'02""",Ulrik Pedersen,,11,M,Odense,11,12 08,2005
232,Århus,Danish,Silkeborg,02-07-72,"5'10""",Thomas Poulsen,,12,M,Viborg,12,11 03,2005
233,,Danish,Silkeborg,07-09-85,"5'11""",Bajram Fetai,,14,F,Rangers,14,11 05,2005
234,,Danish,Silkeborg,30-03-83,"6'02""",Lasse Ankjær,,15,M,None,15,13 03,2005
235,,Danish,Silkeborg,07-03-85,"6'00""",Morten Søndergaard,,17,F,Ry SK,17,11 11,2005
236,,Danish,Silkeborg,14-11-83,"6'00""",Dennis Flinta,,18,M,Brøndby,18,11 07,2005
237,Herning,Danish,Silkeborg,11-02-79,"6'04""",Kim Olsen,,19,F,Sheffield W,19,13 10,2005
238,Silkeborg,Danish,Silkeborg,13-06-79,"6'02""",Thomas Olsen,,20,M,Silkeborg KFUM,20,12 06,2005
239,Silkeborg,Danish,Silkeborg,20-10-77,"6'00""",Henrik Schneider,,21,M,Silkeborg KFUM,21,11 11,2005
240,,Danish,Silkeborg,10-10-85,"6'00""",Martin Ørnskov Nielsen,,22,M,None,22,11 11,2005
241,,Danish,Silkeborg,29-06-84,"5'09""",Thomas Raun,,23,F,Nykøbing,23,10 08,2005
242,,Danish,Silkeborg,05-07-85,"5'08""",Simon Nagel,,24,M,Nykøbing,24,11 00,2005
