Number,Name,Nat,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
11,Gabriel Agbonlahor,ENG,F,13-10-86,Birmingham,None,Aston Villa,2009
12,Marc Albrighton,ENG,M,18-11-89,Tamworth,None,Aston Villa,2009
14,Nathan Delfouneso,ENG,F,02-02-91,Birmingham,None,Aston Villa,2009
15,Curtis Davies,ENG,D,15-03-85,Waltham Forest,WBA,Aston Villa,2009
16,Fabian Delph,ENG,M,21-11-89,Bradford,Leeds U,Aston Villa,2009
17,Moustapha Salifou,TOG,M,06-01-83,Lomé,FC Wil,Aston Villa,2009
18,Emile Heskey,ENG,F,01-11-78,Leicester,Wigan Ath,Aston Villa,2009
19,Stiliyan Petrov,BUL,M,07-05-79,Montana,Celtic,Aston Villa,2009
20,Nigel Reo-Coker,ENG,M,14-05-84,Southwark,West Ham U,Aston Villa,2009
22,Brad Guzan,USA,G,09-09-84,Home Glen,Chivas USA,Aston Villa,2009
23,Habib Beye,SEN,D,19-10-77,Suresnes,Newcastle U,Aston Villa,2009
24,Carlos Cuéllar,ESP,D,23-08-81,Madrid,Rangers,Aston Villa,2009
25,Stephen Warnock,ENG,D,12-12-81,Ormskirk,Blackburn R,Aston Villa,2009
27,Isaiah Osbourne,ENG,M,15-11-87,Birmingham,None,Aston Villa,2009
29,James Collins,WAL,D,23-08-83,Newport,West Ham U,Aston Villa,2009
33,Andy Marshall,ENG,G,14-04-75,Bury St Edmunds,Coventry C,Aston Villa,2009
42,Andreas Weimann,AUT,F,08-05-91,Vienna,None,Aston Villa,2009
43,Elliott Parish,ENG,G,20-05-90,Northampton,None,Aston Villa,2009
44,Eric Lichaj,USA,D,17-11-88,Downers Grove,Univ of Nth Carolina,Aston Villa,2009
45,Shane Lowry,AUS,D,06-12-89,Perth [AUS],ECU Joondalup,Aston Villa,2009
47,Ciaran Clark,ENG,D,26-09-89,Harrow,None,Aston Villa,2009
50,Jonathan Hogg,ENG,M,12-06-88,Middlesbrough,None,Aston Villa,2009
1,Maik Taylor,NIR,G,09-04-71,Hildeshein,Fulham,Birmingham City,2009
2,Stephen Carr,IRL,D,29-08-76,Dublin,Newcastle U,Birmingham City,2009
3,David Murphy,ENG,D,03-01-84,Hartlepool,Hibernian,Birmingham City,2009
4,Lee Bowyer,ENG,M,01-03-77,Newham,West Ham U,Birmingham City,2009
6,Liam Ridgewell,ENG,D,21-07-84,Bexley,Aston Villa,Birmingham City,2009
7,Sebastian Larsson,SWE,M,06-06-85,Eskiltuna,Arsenal,Birmingham City,2009
8,Garry O'Connor,SCO,F,05-07-83,Edinburgh,Lokomotiv Moscow,Birmingham City,2009
9,Kevin Phillips,ENG,F,25-07-73,Hitchin,WBA,Birmingham City,2009
10,Cameron Jerome,ENG,F,14-08-86,Huddersfield,Cardiff C,Birmingham City,2009
11,Cristian Benítez,ECU,F,05-01-86,Esmereldas,Santos Laguna,Birmingham City,2009
12,Barry Ferguson,SCO,M,02-02-78,Glasgow,Rangers,Birmingham City,2009
13,Colin Doyle,IRL,G,08-12-85,Cork,None,Birmingham City,2009
14,Roger Johnson,ENG,D,28-04-83,Ashford,Cardiff C,Birmingham City,2009
15,Scott Dann,ENG,D,14-02-87,Liverpool,Coventry C,Birmingham City,2009
16,James McFadden,SCO,F,14-04-83,Glasgow,Everton,Birmingham City,2009
17,Míchel,ESP,M,11-09-85,Pola de Lena,Sporting Gijón,Birmingham City,2009
18,Keith Fahey,IRL,M,15-01-83,Dublin,St Patrick's Ath,Birmingham City,2009
20,Franck Queudrue,FRA,D,25-08-78,Paris,Fulham,Birmingham City,2009
21,Stuart Parnaby,ENG,D,19-07-82,Durham,Middlesbrough,Birmingham City,2009
24,Jay O'Shea,IRL,M,08-10-88,Dún Laoghaire,Galway U,Birmingham City,2009
25,Joe Hart,ENG,G,19-04-87,Shrewsbury,Manchester C,Birmingham City,2009
26,Lee Carsley,IRL,M,28-02-74,Birmingham,Everton,Birmingham City,2009
27,Grégory Vignal,FRA,D,19-07-81,Montpellier,Lens,Birmingham City,2009
28,Teemu Tainio,FIN,M,27-11-79,Tornio,Sunderland,Birmingham City,2009
29,Ashley Sammons,ENG,M,11-10-91,Solihull,None,Birmingham City,2009
30,Dan Preston,ENG,D,26-09-91,Birmingham,None,Birmingham City,2009
31,Jordon Mutch,ENG,M,12-02-91,Birmingham,Derby Co,Birmingham City,2009
32,Jake Jervis,ENG,F,17-09-91,Birmingham,None,Birmingham City,2009
33,Craig Gardner,ENG,M,25-11-86,Solihull,Aston Villa,Birmingham City,2009
34,Nathan Redmond,ENG,M,03-06-94,Birmingham,None,Birmingham City,2009
1,Paul Robinson,ENG,G,15-10-79,Beverley,Tottenham H,Blackburn Rovers,2009
2,Lars Jacobsen,DEN,D,20-09-79,Odense,Everton,Blackburn Rovers,2009
4,Christopher Samba,CGO,D,28-03-84,Créteil,Hertha Berlin,Blackburn Rovers,2009
5,Gaël Givet,FRA,D,10-09-81,Arles,Marseille,Blackburn Rovers,2009
6,Ryan Nelsen,NZL,D,18-10-77,Christchurch,DC United,Blackburn Rovers,2009
7,Brett Emerton,AUS,M,22-02-79,Bankstown,Feyenoord,Blackburn Rovers,2009
8,David Dunn,ENG,M,27-12-79,Blackburn,Birmingham C,Blackburn Rovers,2009
9,Jason Roberts,GRN,F,25-01-78,Park Royal,Wigan Ath,Blackburn Rovers,2009
11,Vince Grella,AUS,M,10-05-79,Melbourne,Torino,Blackburn Rovers,2009
12,Morten Gamst Pedersen,NOR,M,09-08-81,Vadsø,Tromsø,Blackburn Rovers,2009
14,Amine Linganzi,ALG,M,16-11-89,Algiers,St-Etienne,Blackburn Rovers,2009
15,Steven N'Zonzi,FRA,M,15-12-88,Colombes,Amiens,Blackburn Rovers,2009
16,Steven Reid,IRL,M,03-10-81,Kingston,Millwall,Blackburn Rovers,2009
17,Keith Andrews,IRL,M,13-09-80,Dublin,MK Dons,Blackburn Rovers,2009
18,El-Hadji Diouf,SEN,F,15-01-81,Dakar,Sunderland,Blackburn Rovers,2009
19,Aaron Doran,IRL,M,13-05-91,Dublin,None,Blackburn Rovers,2009
20,Yıldıray Baştürk,TUR,M,24-12-78,Herne,Stuttgart,Blackburn Rovers,2009
21,Martin Olsson,SWE,D,17-05-88,Gävle,Högaborgs BK,Blackburn Rovers,2009
22,Nikola Kalinić,CRO,F,01-05-88,Split,Hajduk Split,Blackburn Rovers,2009
23,Junior Hoilett,CAN,M,06-05-90,Brampton,None,Blackburn Rovers,2009
25,Alan Judge,IRL,M,11-11-88,Dublin,None,Blackburn Rovers,2009
26,Franco Di Santo,ARG,F,04-07-89,Mendoza,Chelsea,Blackburn Rovers,2009
27,Michel Salgado,ESP,D,22-10-75,As Neves,Real Madrid,Blackburn Rovers,2009
28,Phil Jones,ENG,D,21-02-92,Preston,None,Blackburn Rovers,2009
29,Gavin Gunning,IRL,D,26-01-91,Cork,Crumlin U,Blackburn Rovers,2009
30,Maceo Rigters,NED,F,22-01-84,Amsterdam,NAC Breda,Blackburn Rovers,2009
31,Grant Hanley,SCO,D,20-11-91,Dumfries,None,Blackburn Rovers,2009
32,Jason Brown,WAL,G,18-05-82,Southwark,Gillingham,Blackburn Rovers,2009
38,Mark Bunn,ENG,G,16-11-84,Southgate,Northampton T,Blackburn Rovers,2009
39,Pascal Chimbonda,FRA,D,21-02-79,Les Abymes,Tottenham H,Blackburn Rovers,2009
1,Ádám Bogdán,HUN,G,27-09-87,Budapest,Vasas,Bolton Wanderers,2009
3,Jlloyd Samuel,TRI,D,29-03-81,San Fernando,Aston Villa,Bolton Wanderers,2009
4,Paul Robinson,ENG,D,14-12-78,Watford,WBA,Bolton Wanderers,2009
5,Gary Cahill,ENG,D,19-12-85,Sheffield,Aston Villa,Bolton Wanderers,2009
6,Fabrice Muamba,ENG,M,04-06-88,Kinshasa,Birmingham C,Bolton Wanderers,2009
7,Matthew Taylor,ENG,M,27-11-81,Oxford,Portsmouth,Bolton Wanderers,2009
8,Joey O'Brien,IRL,M,17-02-86,Dublin,None,Bolton Wanderers,2009
9,Johan Elmander,SWE,F,27-05-81,Alingsas,Toulouse,Bolton Wanderers,2009
10,Rahamat Riga Mustapha,NED,F,10-10-81,Accra,Levante,Bolton Wanderers,2009
11,Ricardo Gardner,JAM,M,25-09-78,St Andrews,Harbour View,Bolton Wanderers,2009
12,Zat Knight,ENG,D,05-02-80,Solihull,Aston Villa,Bolton Wanderers,2009
14,Kevin Davies,ENG,F,26-03-77,Sheffield,Southampton,Bolton Wanderers,2009
15,Grétar Steinsson,ISL,D,01-09-82,Siglufjördur,AZ Alkmaar,Bolton Wanderers,2009
16,Mark Davies,ENG,M,18-02-88,Wolverhampton,Wolverhampton W,Bolton Wanderers,2009
17,Ivan Klasnić,CRO,F,29-01-80,Hamburg,Nantes,Bolton Wanderers,2009
18,Sam Ricketts,WAL,D,10-11-81,Aylesbury,Hull C,Bolton Wanderers,2009
19,Gavin McCann,ENG,M,01-10-78,Blackpool,Aston Villa,Bolton Wanderers,2009
20,Ricardo Vaz Té,POR,F,10-01-86,Lisbon,Farense,Bolton Wanderers,2009
21,Tamir Cohen,ISR,M,03-04-84,Tel Aviv,Maccabi Netanya,Bolton Wanderers,2009
22,Jussi Jääskeläinen,FIN,G,19-04-75,Mikkeli,VPS,Bolton Wanderers,2009
23,Sean Davis,ENG,M,20-09-79,Clapham,Portsmouth,Bolton Wanderers,2009
24,Danny Shittu,NGA,D,09-02-80,Lagos,Watford,Bolton Wanderers,2009
25,Stuart Holden,USA,M,08-01-85,Aberdeen,Houston Dynamo,Bolton Wanderers,2009
26,Ali Al-Habsi,OMA,G,30-12-81,Muscat,Lyn,Bolton Wanderers,2009
27,Lee Chung-Yong,KOR,M,07-02-88,Seoul,FC Seoul,Bolton Wanderers,2009
29,Zoltán Harsányi,SVK,F,06-01-87,Senec,FC Senec,Bolton Wanderers,2009
30,Chris Basham,ENG,M,20-07-88,Hebburn,None,Bolton Wanderers,2009
31,Andy O'Brien,IRL,D,29-06-79,Harrogate,Portsmouth,Bolton Wanderers,2009
32,Jack Wilshere,ENG,M,01-01-92,Stevenage,Arsenal,Bolton Wanderers,2009
40,Vladimir Weiss,SVK,M,30-11-89,Bratislava,Manchester C,Bolton Wanderers,2009
1,Diego Penny,PER,G,22-04-84,Lima,Coronel Bolognesi,Burnley,2009
2,Graham Alexander,SCO,D,10-10-71,Coventry,Preston NE,Burnley,2009
4,Michael Duff,NIR,D,01-11-78,Belfast,Cheltenham T,Burnley,2009
5,Clarke Carlisle,ENG,D,14-10-79,Preston,Watford,Burnley,2009
6,Stephen Caldwell,SCO,D,09-12-80,Stirling,Sunderland,Burnley,2009
7,Kevin McDonald,SCO,M,11-04-88,Carnoustie,Dundee,Burnley,2009
9,Steven Fletcher,SCO,F,26-03-87,Shrewsbury,Hibernian,Burnley,2009
10,Martin Paterson,NIR,F,05-10-87,Tunstall,Scunthorpe U,Burnley,2009
11,Wade Elliott,ENG,M,14-12-78,Southampton,Bournemouth,Burnley,2009
12,Brian Jensen,DEN,G,06-08-75,Copenhagen,WBA,Burnley,2009
14,Tyrone Mears,ENG,D,18-02-83,Stockport,Derby Co,Burnley,2009
15,David Edgar,CAN,D,19-05-87,Kitchener,Newcastle U,Burnley,2009
16,Chris McCann,IRL,M,21-07-87,Meath,None,Burnley,2009
17,Richard Eckersley,ENG,D,03-12-89,Salford,Manchester U,Burnley,2009
18,Leon Cort,ENG,D,09-11-79,Southwark,Stoke C,Burnley,2009
19,Jay Rodriguez,ENG,F,29-07-89,Burnley,None,Burnley,2009
20,Robbie Blake,ENG,F,03-04-76,Middlesbrough,Leeds U,Burnley,2009
21,André Bikey,CMR,D,01-08-85,Douala,Reading,Burnley,2009
22,David Nugent,ENG,F,05-02-85,Liverpool,Portsmouth,Burnley,2009
23,Stephen Jordan,ENG,D,03-06-82,Warrington,Manchester C,Burnley,2009
25,Adam Kay,ENG,M,03-05-90,Burnley,None,Burnley,2009
27,Alex MacDonald,ENG,F,14-04-90,Warrington,None,Burnley,2009
28,Kevin Long,IRL,D,18-08-90,Cork,Cork C,Burnley,2009
29,Frédéric Nimani,FRA,F,10-08-88,Marseille,Monaco,Burnley,2009
30,Steven Thompson,SCO,F,14-10-78,Paisley,Cardiff C,Burnley,2009
31,Nick Weaver,ENG,G,03-02-79,Sheffield,Dundee U,Burnley,2009
33,Chris Eagles,ENG,M,19-11-85,Hemel Hempstead,Manchester U,Burnley,2009
34,Danny Fox,SCO,D,29-05-86,Winsford,Celtic,Burnley,2009
35,Chris Lynch,ENG,D,31-01-91,Blackburn,None,Burnley,2009
36,Nik Kudiersky,ENG,D,15-02-91,Glossop,None,Burnley,2009
37,Chris Anderson,ENG,M,10-02-90,Burnley,None,Burnley,2009
38,Alex-Ray Harvey,ENG,M,04-04-90,Burnley,None,Burnley,2009
39,Wes Fletcher,ENG,F,28-02-90,Ormskirk,None,Burnley,2009
40,Ben Hoskin,ENG,D,10-08-90,Accrington,None,Burnley,2009
41,Jonathan Lund,ENG,G,11-01-88,Leeds,Grimsby T,Burnley,2009
42,Jack Cork,ENG,M,25-06-89,Carshalton,Chelsea,Burnley,2009
1,Petr Čech,CZE,G,20-05-82,Plzeň,Rennes,Chelsea,2009
2,Branislav Ivanović,SRB,D,22-02-84,Sremska Mitrovica,Lokomotiv Moscow,Chelsea,2009
3,Ashley Cole,ENG,D,20-12-80,Stepney,Arsenal,Chelsea,2009
5,Michael Essien,GHA,M,12-03-82,Accra,Lyon,Chelsea,2009
6,Ricardo Carvalho,POR,D,18-05-78,Amarante,FC Porto,Chelsea,2009
8,Frank Lampard,ENG,M,20-06-78,Romford,West Ham U,Chelsea,2009
10,Joe Cole,ENG,M,11-08-81,Paddington,West Ham U,Chelsea,2009
11,Didier Drogba,CIV,F,03-11-78,Abidjan,Marseille,Chelsea,2009
12,Mikel John Obi,NGA,M,22-04-87,Jos,Lyn,Chelsea,2009
13,Michael Ballack,GER,M,26-09-76,Chemnitz,Bayern Munich,Chelsea,2009
15,Florent Malouda,FRA,M,13-06-80,Cayenne,Lyon,Chelsea,2009
17,José Bosingwa,POR,D,24-08-82,Kinshasa,FC Porto,Chelsea,2009
18,Yuriy Zhirkov,RUS,M,20-08-83,Tambov,CSKA Moscow,Chelsea,2009
19,Paulo Ferreira,POR,D,18-01-79,Lisbon,FC Porto,Chelsea,2009
20,Deco,POR,M,27-08-77,São Bernardo do Campo,Barcelona,Chelsea,2009
21,Salomon Kalou,CIV,F,08-05-85,Oumé,Feyenoord,Chelsea,2009
22,Ross Turnbull,ENG,G,01-04-85,Bishop Auckland,Middlesbrough,Chelsea,2009
23,Daniel Sturridge,ENG,F,09-01-89,Birmingham,Manchester C,Chelsea,2009
24,Nemanja Matić,SRB,M,08-01-88,Šabac,MFK Košice,Chelsea,2009
26,John Terry,ENG,D,12-07-80,Barking,None,Chelsea,2009
30,Rhys Taylor,WAL,G,04-07-90,Neath,None,Chelsea,2009
33,Alex,BRA,D,17-06-82,Niterói,PSV Eindhoven,Chelsea,2009
35,Belletti,BRA,D,20-06-76,Cascavel,Barcelona,Chelsea,2009
39,Nicolas Anelka,FRA,F,14-03-79,Versailles,Bolton W,Chelsea,2009
40,Hilário,POR,G,21-10-75,São Pedro da Cova,Nacional [POR],Chelsea,2009
41,Sam Hutchinson,ENG,D,08-03-89,Slough,None,Chelsea,2009
43,Jeffrey Bruma,NED,D,13-11-91,Rotterdam,Feyenoord,Chelsea,2009
44,Gaël Kakuta,FRA,F,21-06-91,Lille,Lens,Chelsea,2009
45,Fabio Borini,ITA,F,29-03-91,Bentivoglio,Bologna,Chelsea,2009
46,Jacopo Sala,ITA,M,12-05-91,Bergamo,Atalanta,Chelsea,2009
47,Nikki Ahamed,SRI,D,18-04-91,Colombo,None,Chelsea,2009
48,Daniel Philliskirk,ENG,M,04-10-91,Oldham,Oldham Ath,Chelsea,2009
50,Jan Šebek,CZE,G,31-01-91,Planá,Tachov,Chelsea,2009
51,Josh McEachran,ENG,M,03-01-93,Oxford,None,Chelsea,2009
52,Patrick van Aanholt,NED,D,29-08-90,'s-Hertogenbosch,PSV Eindhoven,Chelsea,2009
1,Carlo Nash,ENG,G,13-09-73,Bolton,Wigan Ath,Everton,2009
2,Tony Hibbert,ENG,D,20-02-81,Liverpool,None,Everton,2009
3,Leighton Baines,ENG,D,12-11-84,Liverpool,Wigan Ath,Everton,2009
4,Joseph Yobo,NGA,D,09-06-80,Kano,Marseille,Everton,2009
5,John Heitinga,NED,D,15-11-83,Alphen aan den Rijn,Atlético Madrid,Everton,2009
6,Phil Jagielka,ENG,D,17-08-82,Sale,Sheffield U,Everton,2009
7,Diniyar Bilyaletdinov,RUS,M,27-02-85,Moscow,Lokomotiv Moscow,Everton,2009
8,Louis Saha,FRA,F,08-08-78,Paris,Manchester U,Everton,2009
10,Mikel Arteta,ESP,M,26-03-82,San Sebastián,Real Sociedad,Everton,2009
12,Iain Turner,SCO,G,26-01-84,Stirling,Stirling Alb,Everton,2009
14,James Vaughan,ENG,F,14-07-88,Birmingham,None,Everton,2009
15,Sylvain Distin,FRA,D,16-12-77,Bagnolet,Portsmouth,Everton,2009
17,Tim Cahill,AUS,M,12-06-79,Sydney,Millwall,Everton,2009
18,Phil Neville,ENG,D,21-01-77,Bury,Manchester U,Everton,2009
19,Dan Gosling,ENG,M,02-02-90,Brixham,Plymouth Arg,Everton,2009
20,Steven Pienaar,RSA,M,17-03-82,Johannesburg,Borussia Dortmund,Everton,2009
21,Leon Osman,ENG,M,17-05-81,Billinge,None,Everton,2009
22,Yakubu Aiyegbeni,NGA,F,22-11-82,Benin City,Middlesbrough,Everton,2009
23,Philippe Senderos,SUI,D,14-02-85,Geneva,Arsenal,Everton,2009
24,Tim Howard,USA,G,03-06-79,North Brunswick,Manchester U,Everton,2009
25,Marouane Fellaini,BEL,M,22-11-87,Etterbeek,Standard Liège,Everton,2009
26,Jack Rodwell,ENG,M,03-11-91,Birkdale,None,Everton,2009
28,Victor Anichebe,NGA,F,23-04-88,Lagos,None,Everton,2009
29,Adam Forshaw,ENG,M,10-08-91,Liverpool,None,Everton,2009
30,John Ruddy,ENG,G,24-10-86,St Ives,Cambridge U,Everton,2009
31,Séamus Coleman,IRL,D,10-11-88,Donegal,Sligo R,Everton,2009
32,Luke Garbutt,ENG,D,21-05-93,Harrogate,Leeds U,Everton,2009
33,James McCarten,ENG,D,11-08-90,Netherton,None,Everton,2009
34,Shane Duffy,IRL,D,01-01-92,Derry,None,Everton,2009
35,Kieran Agard,ENG,F,10-10-89,Newham,None,Everton,2009
36,Jake Bidwell,ENG,D,21-03-93,Southport,None,Everton,2009
37,Jose Baxter,ENG,F,02-07-92,Bootle,None,Everton,2009
38,James Wallace,ENG,M,19-12-91,Fazackerly,None,Everton,2009
39,Hope Akpan ,ENG,M,14-08-91,Liverpool,None,Everton,2009
40,Conor McAleny,ENG,F,08-12-92,Liverpool,None,Everton,2009
43,Shkodran Mustafi,GER,D,17-04-92,Bad Hersfeld,Hamburg,Everton,2009
44,Nathan Craig,WAL,M,25-10-91,Caernarfon,None,Everton,2009
45,Aristote Nsiala,CGO,D,25-03-92,Kinshasa,None,Everton,2009
1,Mark Schwarzer,AUS,G,10-06-72,Sydney,Middlesbrough,Fulham,2009
2,Stephen Kelly,IRL,D,09-06-83,Dublin,Birmingham C,Fulham,2009
3,Paul Konchesky,ENG,D,15-05-81,Barking,West Ham U,Fulham,2009
4,John Paintsil,GHA,D,15-06-81,Berekum,West Ham U,Fulham,2009
5,Brede Hangeland,NOR,D,20-06-81,Houston,FC København,Fulham,2009
6,Chris Baird,NIR,D,25-02-82,Ballymena,Southampton,Fulham,2009
7,Nicky Shorey,ENG,D,19-02-81,Romford,Aston Villa,Fulham,2009
8,Andy Johnson,ENG,F,02-10-81,Bedford,Everton,Fulham,2009
9,Stefano Okaka Chuka,ITA,F,08-09-89,Castiglion del Lago,Roma,Fulham,2009
10,Erik Nevland,NOR,F,11-10-77,Stavanger,FC Groningen,Fulham,2009
11,Zoltán Gera,HUN,M,22-04-79,Pécs,WBA,Fulham,2009
12,David Stockdale,ENG,G,20-09-85,Leeds,Darlington,Fulham,2009
13,Danny Murphy,ENG,M,18-03-77,Chester,Tottenham H,Fulham,2009
14,Andranik Teymourian,IRN,M,03-06-83,Tehran,Bolton W,Fulham,2009
16,Damien Duff,IRL,M,03-02-79,Ballyboden,Newcastle U,Fulham,2009
17,Bjørn Helge Riise,NOR,M,21-06-83,Ålesund,Lillestrøm,Fulham,2009
18,Aaron Hughes,NIR,D,11-08-79,Magherafelt,Aston Villa,Fulham,2009
19,Pascal Zuberbühler,SUI,G,01-08-71,Frauenfeld,Neuchâtel Xamax,Fulham,2009
20,Dickson Etuhu,NGA,M,06-08-82,Kano,Sunderland,Fulham,2009
22,Fredrik Stoor,SWE,D,28-02-84,Stockholm,Rosenborg,Fulham,2009
23,Clint Dempsey,USA,M,03-09-83,Nacogdoches,New England Revolution,Fulham,2009
25,Bobby Zamora,ENG,F,16-01-81,Barking,West Ham U,Fulham,2009
26,Chris Smalling,ENG,D,22-11-89,Greenwich,Maidstone U,Fulham,2009
27,Jonathan Greening,ENG,M,01-02-79,Scarborough,WBA,Fulham,2009
29,Simon Davies,WAL,M,23-10-79,Haverfordwest,Everton,Fulham,2009
31,Matthew Saunders,ENG,M,09-12-89,Chertsey,None,Fulham,2009
34,Kagisho Dikgacoi,RSA,M,24-11-84,Brandfort,Golden Arrows,Fulham,2009
35,David Elm,SWE,F,01-10-83,Johansfors,Kalmar FF,Fulham,2009
36,Christopher Buchtmann,GER,M,25-04-92,Minden,Liverpool,Fulham,2009
37,Matthew Briggs,ENG,D,03-09-91,Wandsworth,None,Fulham,2009
40,Michael Uwezu,ENG,F,12-12-90,,None,Fulham,2009
44,Keanu Marsh-Brown,ENG,F,08-10-92,Hammersmith,None,Fulham,2009
45,Alex Smith,ENG,D,31-10-91,Clapham,None,Fulham,2009
1,Boaz Myhill,WAL,G,11-09-82,Modesto,Aston Villa,Hull City,2009
3,Andy Dawson,ENG,D,20-10-78,Northallerton,Scunthorpe U,Hull City,2009
4,Ian Ashbee,ENG,M,09-06-76,Birmingham,Cambridge U,Hull City,2009
5,Anthony Gardner,ENG,D,19-09-80,Stone,Tottenham H,Hull City,2009
6,Paul McShane,IRL,D,01-06-86,Wicklow,Sunderland,Hull City,2009
7,Craig Fagan,ENG,F,12-11-82,Birmingham,Derby Co,Hull City,2009
8,Nick Barmby,ENG,M,02-11-74,Hull,Leeds U,Hull City,2009
9,Jozy Altidore,USA,F,11-06-89,Boca Raton,Villarreal,Hull City,2009
10,Geovanni,BRA,M,01-11-80,Acaiaca,Manchester C,Hull City,2009
11,Stephen Hunt,IRL,M,08-01-81,Portlaoise,Reading,Hull City,2009
12,Matthew Duke,ENG,G,16-07-77,Sheffield,Burton Alb,Hull City,2009
13,Mark Cullen,ENG,F,24-04-92,Stakeford,None,Hull City,2009
14,Richard Garcia,AUS,M,09-04-81,Perth [AUS],Colchester U,Hull City,2009
15,Bernard Mendy,FRA,D,20-08-81,Evreux,Paris St-Germain,Hull City,2009
