Number,Name,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
9,Emanuel Villa,F,24-02-82,Casilda,UAG Tecos,Derby County,2007
10,Robert Earnshaw,F,04-06-81,Mulfulira,Norwich C,Derby County,2007
11,Craig Fagan,F,12-11-82,Birmingham,Hull C,Derby County,2007
14,Kenny Miller,F,23-12-79,Edinburgh,Celtic,Derby County,2007
15,Eddie Lewis,M,17-05-74,Cerritos,Leeds U,Derby County,2007
16,Gary Teale,M,21-07-78,Glasgow,Wigan Ath,Derby County,2007
17,Andy Todd,D,21-09-74,Derby,Blackburn R,Derby County,2007
19,Claude Davis,D,03-06-79,Kingston,Sheffield U,Derby County,2007
21,Mile Sterjovski,M,27-05-79,Wollongong,Gençlerbirliği OFTAŞ,Derby County,2007
22,Benny Feilhaber,M,19-01-85,Rio de Janeiro,Hamburg,Derby County,2007
23,Darren Moore,D,22-04-74,Birmingham,WBA,Derby County,2007
24,Tyrone Mears,D,18-02-83,Stockport,West Ham U,Derby County,2007
25,Stephen Pearson,M,10-02-82,Lanark,Celtic,Derby County,2007
27,Danny Mills,D,18-05-77,Norwich,Manchester C,Derby County,2007
28,Giles Barnes,F,08-05-88,Barking,None,Derby County,2007
29,Ben Hinchcliffe,G,10-09-88,Preston,Preston NE,Derby County,2007
31,Roy Carroll,G,30-09-77,Enniskillen,Rangers,Derby County,2007
32,Miles Addison,D,01-07-89,London,None,Derby County,2007
33,Mitchell Hanson,D,09-02-88,Derby,None,Derby County,2007
34,Matthew Richards,M,12-01-89,Derby,None,Derby County,2007
35,Jason Beardsley,D,07-12-89,Uttoxeter,None,Derby County,2007
40,Hossam Ghaly,M,15-12-81,Kafrelshikh,Tottenham H,Derby County,2007
41,Paris Simmons,F,01-02-90,London,None,Derby County,2007
44,Robbie Savage,M,18-10-74,Wrexham,Blackburn R,Derby County,2007
2,Tony Hibbert,D,20-02-81,Liverpool,None,Everton,2007
3,Leighton Baines,D,12-11-84,Liverpool,Wigan Ath,Everton,2007
4,Joseph Yobo,D,09-06-80,Kano,Marseille,Everton,2007
5,Joleon Lescott,D,16-08-82,Birmingham,Wolverhampton W,Everton,2007
6,Mikel Arteta,M,26-03-82,San Sebastián,Real Sociedad,Everton,2007
7,Andy van der Meyde,M,30-09-79,Arnhem,Internazionale,Everton,2007
8,Andy Johnson,F,02-10-81,Bedford,Crystal Palace,Everton,2007
10,Thomas Gravesen,M,03-11-76,Vejle,Celtic,Everton,2007
12,Iain Turner,G,26-01-84,Stirling,Stirling Alb,Everton,2007
14,James Vaughan,F,14-07-88,Birmingham,None,Everton,2007
15,Anthony Gardner,D,19-09-80,Stone,Tottenham H,Everton,2007
16,Philip Jagielka,D,17-08-82,Manchester,Sheffield U,Everton,2007
17,Tim Cahill,M,12-06-79,Sydney,Millwall,Everton,2007
18,Phil Neville,D,21-01-77,Bury,Manchester U,Everton,2007
19,Nuno Valente,D,09-12-74,Lisbon,Porto,Everton,2007
20,Steven Pienaar,M,17-03-82,Johannesburg,Borussia Dortmund,Everton,2007
21,Leon Osman,M,17-05-81,Billinge,None,Everton,2007
22,Aiyegbeni Yakubu,F,22-11-82,Benin City,Middlesbrough,Everton,2007
23,Manuel Fernandes,M,02-05-86,Lisbon,Valencia,Everton,2007
24,Tim Howard,G,03-06-79,North Brunswick,Manchester U,Everton,2007
26,Lee Carsley,M,28-02-74,Birmingham,Coventry C,Everton,2007
28,Victor Anichebe,F,23-04-88,Lagos,None,Everton,2007
29,Patrick Boyle,D,20-03-87,Glasgow,None,Everton,2007
30,John Ruddy,G,24-10-86,St Ives,Cambridge U,Everton,2007
32,Dan Gosling,M,02-02-90,Brixham,Plymouth Arg,Everton,2007
33,Stefan Wessels,G,28-02-79,Rahden,Köln,Everton,2007
34,John Irving,D,17-09-89,Liverpool,None,Everton,2007
37,Jack Rodwell,D,03-11-91,Birkdale,None,Everton,2007
1,Kasey Keller,G,27-11-69,"Washington, DC",B Mönchengladbach,Fulham,2007
2,Moritz Volz,D,21-01-83,Siegen,Arsenal,Fulham,2007
3,Carlos Bocanegra,D,25-05-79,Alta Loma,Chicago Fire,Fulham,2007
4,Paul Konchesky,D,15-05-81,Barking,West Ham U,Fulham,2007
5,Philippe Christanval,D,31-08-78,Paris,Marseille,Fulham,2007
6,Dejan Stefanović,D,28-10-74,Belgrade,Portsmouth,Fulham,2007
7,Seol Ki-Hyeon,F,01-08-79,Jeongseon,Reading,Fulham,2007
8,Alexei Smertin,M,05-01-75,Barnaul,Dynamo Moscow,Fulham,2007
9,David Healy,F,08-05-79,Downpatrick,Leeds U,Fulham,2007
10,Jari Litmanen,F,20-02-71,Lahti,Malmö FF,Fulham,2007
11,Diomansy Kamara,F,11-08-80,Paris,WBA ,Fulham,2007
12,Tony Warner,G,05-11-74,Liverpool,Cardiff C,Fulham,2007
13,Ricardo Batista,G,18-11-86,Setúbal,Vitória Setúbal,Fulham,2007
14,Eddie Johnson,F,31-03-84,Daytona Beach,Kansas City Wizards,Fulham,2007
15,Erik Nevland,F,11-10-77,Stavanger,FC Groningen,Fulham,2007
16,Michael Timlin,M,19-03-85,Lambeth,None,Fulham,2007
17,Paul Stalteri,M,18-10-77,Etobicoke,Tottenham H,Fulham,2007
18,Aaron Hughes,D,11-08-79,Magherafelt,Aston Villa,Fulham,2007
19,Ian Pearce,D,05-07-74,Bury St Edmunds,West Ham U,Fulham,2007
20,Brian McBride,F,17-08-72,Arlington Heights,Columbus Crew,Fulham,2007
21,Jimmy Bullard,M,23-10-78,Newham,Wigan Ath,Fulham,2007
22,Elliot Omozusi,D,15-12-88,Hackney,None,Fulham,2007
23,Clint Dempsey,M,03-09-83,Nacogdoches,New England Revolution,Fulham,2007
24,Hameur Bouazza,F,22-02-85,Evry,Watford,Fulham,2007
25,Simon Davies,M,23-10-79,Haverfordwest,Everton,Fulham,2007
26,Leon Andreasen,D,23-04-83,Aidt Thorsø,Werder Bremen,Fulham,2007
27,Danny Murphy,M,18-03-77,Chester,Tottenham H,Fulham,2007
28,Robert Milsom,D,01-02-87,Redhill,None,Fulham,2007
29,Antti Niemi,G,31-05-72,Oulu,Southampton,Fulham,2007
30,Wayne Brown,M,08-06-88,Kingston upon Thames,None,Fulham,2007
31,Adam Watts,D,03-04-88,London,None,Fulham,2007
32,Brede Paulsen Hangeland,D,20-06-81,Houston,FC København,Fulham,2007
33,Toni Kallio,D,08-09-78,Tampere,Young Boys,Fulham,2007
34,Chris Baird,D,25-02-82,Ballymena,Southampton,Fulham,2007
35,Simon Elliott,M,10-06-76,Wellington,Columbus Crew,Fulham,2007
37,Adrian Leijer,D,25-03-86,Dubbo,Melbourne Victory,Fulham,2007
38,Nathan Ashton,D,30-01-87,Plaistow,Charlton Ath,Fulham,2007
3,Steve Finnan,D,20-04-76,Limerick,Fulham,Liverpool,2007
4,Sami Hyypiä,D,10-07-73,Porvoo,Willem II,Liverpool,2007
5,Daniel Agger,D,12-12-84,Hvidovre,Brřndby,Liverpool,2007
6,John Arne Riise,M,24-09-79,Molde,Monaco,Liverpool,2007
7,Harry Kewell,F,22-09-78,Sydney,Leeds U,Liverpool,2007
8,Steven Gerrard,M,30-05-80,Whiston,None,Liverpool,2007
9,Fernando Torres,F,20-03-84,Madrid,Atlético Madrid,Liverpool,2007
10,Andriy Voronin,F,21-07-79,Odessa,Bayer Leverkusen,Liverpool,2007
11,Yossi Benayoun,M,05-05-80,Beersheeba,West Ham U,Liverpool,2007
12,Fábio Aurélio,D,24-09-79,Săo Carlos,Valencia,Liverpool,2007
14,Xabi Alonso,M,25-11-81,Tolosa,Real Sociedad,Liverpool,2007
15,Peter Crouch,F,30-01-81,Macclesfield,Southampton,Liverpool,2007
16,Jermaine Pennant,M,15-01-83,Nottingham,Birmingham C,Liverpool,2007
17,Álvaro Arbeloa ,D,17-01-83,Salamanca,Deportivo La Coruńa,Liverpool,2007
18,Dirk Kuijt,F,22-07-80,Katwijk,Feyenoord,Liverpool,2007
19,Ryan Babel,F,19-12-86,Amsterdam,Ajax,Liverpool,2007
20,Javier Mascherano,M,06-08-84,Rosario,West Ham U,Liverpool,2007
21,Lucas,M,01-09-87,Dourados,Gręmio,Liverpool,2007
23,Jamie Carragher,D,28-01-78,Liverpool,None,Liverpool,2007
25,José Manuel Reina,G,31-08-82,Madrid,Villarreal,Liverpool,2007
30,Charles Itandje,G,11-02-82,Bobigny,Lens,Liverpool,2007
33,Sebastián Leto,M,30-08-86,Lanús,Lanús,Liverpool,2007
34,Jay Spearing,M,25-11-88,Wirral,None,Liverpool,2007
35,Ray Putterill,M,03-02-89,Liverpool,None,Liverpool,2007
36,Ryan Flynn,M,09-04-88,,Falkirk,Liverpool,2007
37,Martin Škrteľ,D,15-12-84,Trenčín,Zenit St Petersburg,Liverpool,2007
38,Craig Lindfield,F,09-07-88,Wirral,None,Liverpool,2007
39,Stephen Darby,D,10-06-88,Liverpool,None,Liverpool,2007
40,David Martin,G,22-01-86,Romford,MK Dons,Liverpool,2007
42,Nabil El Zhar,M,27-08-86,Alčs,St-Etienne,Liverpool,2007
44,Robbie Threlfall,D,25-11-88,Liverpool,None,Liverpool,2007
45,Mikel San José,D,30-05-89,Pamplona,Athletic Bilbao B,Liverpool,2007
47,Damien Plessis,M,03-05-88,Neuvy-sous-Bois,Lyon,Liverpool,2007
48,Emiliano Insua,D,01-07-89,Buenos Aires,Boca Juniors,Liverpool,2007
1,Andreas Isaksson,G,10-03-81,Trelleborg,Rennes,Manchester City,2007
2,Micah Richards,D,24-06-88,Birmingham,None,Manchester City,2007
3,Michael Ball,D,10-02-79,Liverpool,PSV Eindhoven,Manchester City,2007
4,Nedum Onuoha,D,30-11-86,Warri,None,Manchester City,2007
6,Michael Johnson,M,24-02-88,Urmston,None,Manchester City,2007
7,Stephen Ireland,M,22-08-86,Cork,None,Manchester City,2007
8,Geovanni,M,01-11-80,Acaiaca,Cruzeiro,Manchester City,2007
9,Emile Mpenza,F,07-04-78,Brussels,Al Rayyan,Manchester City,2007
11,Elano Blumer,M,14-06-81,Iracemapolis,Shakhtar Donetsk,Manchester City,2007
12,Darius Vassell,F,13-06-80,Birmingham,Aston Villa,Manchester City,2007
15,Martin Petrov,F,15-01-79,Vzatza,Atlético Madrid,Manchester City,2007
16,Vedran Ćorluka,D,02-05-86,Zagreb,Dinamo Zagreb,Manchester City,2007
17,Sun Jihai,D,30-09-77,Dalian,Dalian Wanda,Manchester City,2007
19,Kasper Schmeichel,G,11-05-86,Copenhagen,None,Manchester City,2007
20,Felipe Caicedo,F,09-05-88,Guayaquil,Basel,Manchester City,2007
21,Dietmar Hamann,M,27-08-73,Waldsassen,Bolton W,Manchester City,2007
22,Richard Dunne,D,21-09-79,Dublin,Everton,Manchester City,2007
24,Javier Garrido,D,15-03-85,Irún,Real Sociedad,Manchester City,2007
25,Joe Hart,G,19-04-87,Shrewsbury,Shrewsbury T,Manchester City,2007
27,Benjani Mwaruwari,F,13-08-78,Bulawayo,Portsmouth,Manchester City,2007
28,Gelson Fernandes,M,09-02-86,Praia,Sion,Manchester City,2007
29,Valeri Bojinov,F,15-02-86,Gorna Oryahovitsa,Fiorentina,Manchester City,2007
30,Nery Castillo,M,13-06-84,San Luis Potosí,Shakhtar Donetsk,Manchester City,2007
31,Adam Clayton,F,,,None,Manchester City,2007
32,Javan Vidal,D,,,None,Manchester City,2007
34,Sam Williamson,D,15-10-87,Manchester,None,Manchester City,2007
35,Michael Daly,M,18-10-89,,None,Manchester City,2007
36,Daniel Sturridge,F,09-01-89,Birmingham,None,Manchester City,2007
37,Kelvin Etuhu,F,30-05-88,Kano,None,Manchester City,2007
38,Shaleum Logan,D,11-06-88,Manchester,None,Manchester City,2007
40,Garry Breen,D,17-03-89,Kilkenny,None,Manchester City,2007
41,Ashley Grimes,M,12-09-86,Swinton,None,Manchester City,2007
42,Karl Moore,M,11-09-88,Dublin,None,Manchester City,2007
43,Clayton McDonald,D,,,None,Manchester City,2007
44,Curtis Obeng,D,,Manchester,None,Manchester City,2007
45,Christian Mouritsen,F,12-03-88,,None,Manchester City,2007
