Number,Name,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
8,Julen Guerrero,F,01-07-74,Portugalete,Athletic Bilbao B,Athletic Bilbao,2005
9,Fernando Llorente Torres,F,26-02-85,Iruñea,Athletic Bilbao B,Athletic Bilbao,2005
10,Francisco Yeste,M,12-06-79,Bilbao,Athletic Bilbao B,Athletic Bilbao,2005
12,José María Lacruz,D,25-04-78,Pamplona,Osasuna,Athletic Bilbao,2005
13,Daniel Aranzubia,G,18-09-79,Logroño,Athletic Bilbao B,Athletic Bilbao,2005
14,Luis Prieto,D,19-02-79,Bilbao,Eibar,Athletic Bilbao,2005
15,Andoni Iraola,M,22-06-82,Usúrbil,Athletic Bilbao B,Athletic Bilbao,2005
16,Pablo Orbaiz,M,02-06-79,Iruñea,Osasuna,Athletic Bilbao,2005
17,Joseba Etxeberría,F,09-05-77,Elgoibar,Real Sociedad,Athletic Bilbao,2005
18,Carlos Gurpegi,M,19-08-80,Pamplona,Athletic Bilbao B,Athletic Bilbao,2005
19,Ander Murillo,D,22-07-83,San Sebastián,Athletic Bilbao B,Athletic Bilbao,2005
20,Ismael Urzáiz,F,10-07-71,Tudela,Espanyol,Athletic Bilbao,2005
23,Aritz Aduriz,F,02-11-81,San Sebastián,Valladolid,Athletic Bilbao,2005
25,Miguel Escalona,G,11-02-83,Logroño,Athletic Bilbao B,Athletic Bilbao,2005
27,Igor Etxebarrieta,G,04-03-84,Getxo,Athletic Bilbao B,Athletic Bilbao,2005
29,Ustaritz,D,16-02-83,Abadiño,Athletic Bilbao B,Athletic Bilbao,2005
30,Fernando Amorebieta,D,21-03-85,Iurreta,Athletic Bilbao B,Athletic Bilbao,2005
38,Mikel Dañobeitia,F,03-05-86,Barakaldo,Athletic Bilbao B,Athletic Bilbao,2005
40,Mikel Martins,M,28-05-83,San Sebastián,Athletic Bilbao B,Athletic Bilbao,2005
48,Urko Arroyo,F,14-05-87,Bilbao,Athletic Bilbao B,Athletic Bilbao,2005
1,Iván Cuéllar,G,25-05-84,Mérida,Atlético Madrid B,Atlético Madrid,2005
2,Juan Velasco,D,17-05-77,Seville,Celta Vigo,Atlético Madrid,2005
3,Antonio López,D,13-09-81,Benidorm ,Osasuna,Atlético Madrid,2005
4,Gonzalo Colsa,M,04-02-79,Santander,Racing Santander,Atlético Madrid,2005
5,José Antonio Garcia Calvo,D,04-01-75,Madrid,Valladolid,Atlético Madrid,2005
6,José Ignacio Zahínos,M,12-01-77,Madrid,Atlético Madrid B,Atlético Madrid,2005
7,Luciano Galletti,M,04-09-80,Mar del Plata,Zaragoza,Atlético Madrid,2005
8,Ariel Ibagaza,M,27-10-76,Buenos Aires,Mallorca,Atlético Madrid,2005
9,Fernando Torres,F,20-03-84,Madrid,Atlético Madrid B,Atlético Madrid,2005
10,Mateja Kezman,F,04-12-79,Zemun,Chelsea,Atlético Madrid,2005
11,Maxi Rodríguez,M,01-02-81,Rosario,Espanyol,Atlético Madrid,2005
15,Francisco Molinero,D,26-07-85,Toledo,Atlético Madrid B,Atlético Madrid,2005
17,Martin Petrov,F,15-01-79,Vzatza,Wolfsburg,Atlético Madrid,2005
18,Juan Valera,D,21-12-84,La Copa de Bullas,Murcia,Atlético Madrid,2005
20,Gabi,M,07-10-83,Madrid,Atlético Madrid B,Atlético Madrid,2005
21,Luis Amaranto Perea,D,30-01-79,Turbo Antioquia,Boca Juniors,Atlético Madrid,2005
22,Pablo,D,08-03-81,Madrigueras,Albacete,Atlético Madrid,2005
23,Peter Luccin,M,04-09-79,Marseille,Celta Vigo,Atlético Madrid,2005
25,Leo Franco,G,20-05-77,San Nicolas,Mallorca,Atlético Madrid,2005
27,Pablo Sicilia,D,09-10-81,Las Palmas,Atlético Madrid B,Atlético Madrid,2005
28,Manu del Moral,M,25-02-84,Jaén,Atlético Madrid B,Atlético Madrid,2005
29,Federico Azcárate,D,15-06-84,Mar del Plata,Atlético Madrid B,Atlético Madrid,2005
30,Ismael Falcón,G,24-04-85,Cádiz,Atlético Madrid B,Atlético Madrid,2005
31,Mario Suárez,M,24-02-87,Madrid,Atlético Madrid B,Atlético Madrid,2005
32,Francisco Galán,G,01-09-85,Jaén,Atlético Madrid B,Atlético Madrid,2005
33,Roberto,G,02-10-86,Madrid,Atlético Madrid B,Atlético Madrid,2005
35,Basilio Sancho,G,01-02-84,Madrid,Atlético Madrid B,Atlético Madrid,2005
36,Antonio Moreno,D,13-02-83,Puerto Real,Atlético Madrid B,Atlético Madrid,2005
37,Fernando Marqués,M,12-04-84,Madrid,Racing Santander,Atlético Madrid,2005
38,Julian Vara,F,17-11-83,Madrid,Atlético Madrid B,Atlético Madrid,2005
40,Segovia Rufino,F,03-01-83,Madrid,Atlético Madrid B,Atlético Madrid,2005
1,Víctor Valdés,G,14-01-82,Barcelona,Barcelona B,Barcelona,2005
2,Belletti,D,20-06-76,Casacvel,Villarreal,Barcelona,2005
3,Thiago Motta,M,28-08-82,São Bernardo,Barcelona B,Barcelona,2005
4,Rafael Márquez,D,13-02-79,Zamora,Monaco,Barcelona,2005
5,Carles Puyol,D,13-04-78,Viella,Barcelona B,Barcelona,2005
6,Xavi,M,25-01-80,Barcelona,Barcelona B,Barcelona,2005
7,Henrik Larsson,F,09-10-71,Helsingborg,Celtic,Barcelona,2005
8,Ludovic Giuly,M,07-10-76,Lyon,Monaco,Barcelona,2005
9,Samuel Eto'o,F,03-10-81,Nkon,Mallorca,Barcelona,2005
10,Ronaldinho,M,21-03-80,Porto Alegre,Paris St-Germain,Barcelona,2005
11,Maxi López,F,03-04-84,Capital Federal,River Plate,Barcelona,2005
12,Giovanni van Bronckhorst,M,02-05-75,Rotterdam,Arsenal,Barcelona,2005
14,Santiago Ezquerro,F,14-12-76,Calahorra,Athletic Bilbao,Barcelona,2005
15,Edmilson,D,07-10-76,Taguaritinga,Lyon,Barcelona,2005
16,Sylvinho,D,04-12-74,São Paulo,Celta Vigo,Barcelona,2005
17,Mark van Bommel,M,22-04-77,Maasbracht,PSV Eindhoven,Barcelona,2005
18,Gabri,M,02-10-79,Sallent,Barcelona B,Barcelona,2005
19,Lionel Messi,M,24-06-87,Santa Fe,Barcelona B,Barcelona,2005
20,Deco,M,27-08-77,São Bernardo,FC Porto,Barcelona,2005
23,Oleguer Presas,D,02-02-80,Barcelona,Barcelona B,Barcelona,2005
24,Andrés Iniesta,M,05-11-84,Fuentealbilla,Barcelona B,Barcelona,2005
25,Albert Jorquera,G,03-03-79,Bescanó,Barcelona B,Barcelona,2005
26,Rodri,D,17-08-84,Mataró,Barcelona B,Barcelona,2005
27,Pitu,M,24-11-83,Salt,Barcelona B,Barcelona,2005
28,Rubén Iván Martínez,G,22-06-84,La Coruña,Barcelona B,Barcelona,2005
29,Carlos González Peña,D,28-07-83,Salamanca,Barcelona B,Barcelona,2005
31,Joan Verdú,M,05-05-83,Barcelona,Barcelona B,Barcelona,2005
33,Jordi Gómez,M,24-05-85,Barcelona,Barcelona B,Barcelona,2005
35,Cristian,F,21-09-83,Barcelona,Barcelona B,Barcelona,2005
40,Francisco Javier Martos,D,01-04-84,Alamedilla,Barcelona B,Barcelona,2005
41,Ludovic Sylvestre,M,02-05-84,Le Blanc-Mesnil,Barcelona B,Barcelona,2005
42,Paco Montañés,F,10-08-86,Castellón,Barcelona B,Barcelona,2005
43,Jesús Olmo,D,24-01-85,Barcelona,Barcelona B,Barcelona,2005
44,Andrea Orlandi,M,08-03-84,Barcelona,Alavés B,Barcelona,2005
45,Ramón Masó,D,,,Barcelona B,Barcelona,2005
1,Pedro Contreras,G,01-07-72,Madrid,Málaga,Betis,2005
2,Luis Fernández,D,27-09-72,Argomiya de Cayón,Racing Santander,Betis,2005
3,Daniel Alejandro Lembo,D,15-02-78,Montevideo,Nacional,Betis,2005
4,Juanito,D,23-07-76,Cádiz,Recreativo Huelva,Betis,2005
5,David Rivas,D,12-02-78,Dos Hermanas,Betis B,Betis,2005
6,Dani,F,16-09-81,Seville,Betis B,Betis,2005
7,Fernando Varela,D,09-01-79,Dos Hermanas,Extremadura,Betis,2005
8,Arzu,M,17-03-81,Seville,Córdoba,Betis,2005
9,Fernando Fernández,M,06-02-74,Málaga,Valladolid,Betis,2005
10,Juan José Cañas,M,17-05-72,Rota,Betis B,Betis,2005
11,Diego Tardelli,F,05-10-85,Santa Barbara d'Oeste,São Paulo,Betis,2005
12,Robert,F,27-02-81,Salvador,PSV Eindhoven,Betis,2005
13,Antonio Doblas,G,08-05-80,Seville,Betis B,Betis,2005
14,Capi,M,26-03-77,Capas,Granada,Betis,2005
15,Nano,D,07-07-80,Ciudad Real,Getafe,Betis,2005
16,Óscar López,D,05-11-80,Cerdanyola,Barcelona,Betis,2005
17,Joaquín,M,21-07-81,Puerto de Santa Maria,Betis B,Betis,2005
18,Alberto Rivera,M,19-02-78,Puertollano,Levante,Betis,2005
19,Israel,M,16-03-87,Utrera,Betis B,Betis,2005
20,Marcos Assunçao,M,25-07-76,Caieiras,Roma,Betis,2005
21,Xisco,F,09-05-80,Manacor,Valencia,Betis,2005
22,Paolo Castellini,D,25-03-79,Brescia,Brescia,Betis,2005
24,Edú,M,01-10-79,São Paulo,Celta Vigo,Betis,2005
25,Miguel Ángel,M,16-09-78,Barcelona,Málaga,Betis,2005
27,Melli,D,06-06-84,Barbate,Betis B,Betis,2005
28,David Relaño,G,22-04-82,Andujar,Betis B,Betis,2005
29,Isidoro,D,,,Betis B,Betis,2005
31,Juande,M,06-12-86,,Betis B,Betis,2005
1,Armando,G,16-01-71,Sopelana,Barakaldo,Cádiz,2005
2,José Julián de la Cuesta,D,02-11-83,Medellín,Atlético Nacional,Cádiz,2005
3,Raúl López,D,17-09-76,Cádiz,Racing Ferrol,Cádiz,2005
4,Ramón De Quintana,D,02-06-72,Girona,Rayo Vallecano,Cádiz,2005
5,Abraham Paz,D,14-03-79,Santa María,Portuense,Cádiz,2005
6,Roberto Suárez,M,04-07-74,Grados,Lleida,Cádiz,2005
7,Eduardo Berizzo,D,13-10-69,Cruz Alta,Celta Vigo,Cádiz,2005
8,Enrique,M,07-02-77,Zafra,Cacareño,Cádiz,2005
9,Oli,F,04-02-72,Oviedo,Oviedo,Cádiz,2005
10,Fabián Estoyanoff,M,27-09-82,Montevideo,Valencia,Cádiz,2005
11,Matías Pavoni,F,25-09-80,Buenos Aires,Central Córdoba,Cádiz,2005
12,Nenad Mirosavljevic,F,09-04-77,Pozega,Zarpic,Cádiz,2005
13,Raúl Navas,G,16-01-78,Cádiz,Cádiz B,Cádiz,2005
14,Iván Ania,M,24-10-77,Oviedo,Tenerife,Cádiz,2005
15,Benjamín,M,03-02-76,Valladolid,Betis,Cádiz,2005
16,Andrés José Fleurquin,M,02-08-75,Montevideo,Rennes,Cádiz,2005
17,Lucas Lobos,M,08-03-81,La Plata,Gimnasia y Esgrima (LP),Cádiz,2005
18,Mário Silva,D,24-04-77,Oporto,FC Porto,Cádiz,2005
19,Jonathan Sesma,M,14-11-78,Las Palmas,Ceuta,Cádiz,2005
20,Alexander Medina,F,08-08-78,Montevideo,Nacional [URU],Cádiz,2005
21,Alejandro Varela,D,10-05-73,Alicante,Hércules,Cádiz,2005
22,Luciano Vella,D,13-04-81,Rosario,Newell's Old Boys,Cádiz,2005
23,Fernando Morán,M,27-04-76,Madrid,Racing Santander,Cádiz,2005
24,Juan José Bezares,M,17-05-81,La Línea de Concepción,Sevilla,Cádiz,2005
25,Oscar Limia,G,16-07-75,Avellaneda,Arsenal [ARG],Cádiz,2005
1,Esteban Andrés,G,27-06-75,Avilés,Sevilla,Celta Vigo,2005
2,José Enrique,D,23-01-86,Valencia,Valencia,Celta Vigo,2005
3,Matías Lequi,D,15-03-81,Rosario,Lazio,Celta Vigo,2005
4,Borja Oubiña,M,17-05-82,Vigo,Celta B,Celta Vigo,2005
5,Everton Giovanella,M,13-09-70,Caixas do Sul,Salamanca,Celta Vigo,2005
6,Roberto,M,18-01-85,Goiâna,Guaraní,Celta Vigo,2005
7,Antonio Núñez ,M,19-01-79,Madrid,Liverpool,Celta Vigo,2005
8,Ángel,M,03-10-81,Santa Lucia de Tirajana,Las Palmas,Celta Vigo,2005
9,Juan Sánchez,F,15-02-72,Aldaya,Valencia,Celta Vigo,2005
10,Javi Guerrero,F,22-10-76,Madrid,Racing Santander,Celta Vigo,2005
11,Gustavo López,M,13-04-73,Valentin Alsina,Zaragoza,Celta Vigo,2005
12,Diego Rodolfo Placente,D,24-04-77,Buenos Aires,Bayer Leverkusen,Celta Vigo,2005
13,José Manuel Pinto,G,11-08-75,Cádiz,Betis,Celta Vigo,2005
14,Jesús Perera,F,04-12-80,Olivenza,Mallorca,Celta Vigo,2005
15,Pablo Contreras,D,09-11-78,Santiago,Monaco,Celta Vigo,2005
16,David Silva,M,01-08-86,Arguineguín,Valencia,Celta Vigo,2005
17,Sebastián Méndez,D,04-07-77,Buenos Aires,Vélez Sarsfield,Celta Vigo,2005
18,Fernando Baiano,F,18-03-79,São Paulo,São Caetano,Celta Vigo,2005
19,Yago,D,19-08-79,Abidjan,Sporting Gijón,Celta Vigo,2005
20,Jonathan,M,28-02-82,Moaña,Celta B,Celta Vigo,2005
21,Jorge Larena,M,29-09-81,Las Palmas,Atlético Madrid,Celta Vigo,2005
22,Daniël de Ridder,F,03-06-84,Amsterdam,Ajax,Celta Vigo,2005
23,Sergio Fernández,D,23-05-77,Avilés,Sporting Gijón,Celta Vigo,2005
24,Fabián Canobbio,M,03-08-80,Montevideo,Valencia,Celta Vigo,2005
25,Iriney,M,23-04-81,Humaitá,Rayo Vallecano,Celta Vigo,2005
26,Sérgio Álvarez,G,08-03-86,Villagarcía de Arousa,Celta B,Celta Vigo,2005
27,Marcos Bermúdez,G,23-02-86,Portonovo,Celta B,Celta Vigo,2005
29,Carlos Vela,F,03-01-89,Cancún,Arsenal,Celta Vigo,2005
1,José Francisco Molina,G,08-08-70,Valencia,Atlético Madrid,Deportivo La Coruña,2005
2,Manuel Pablo,D,25-01-76,Arucas,Las Palmas,Deportivo La Coruña,2005
3,Enrique Romero,D,23-06-71,Jerez de la Frontera,Mallorca,Deportivo La Coruña,2005
4,Aldo Duscher,M,29-03-79,Esquel,Sporting CP,Deportivo La Coruña,2005
5,César Martin,D,04-02-77,Oviedo,Oviedo,Deportivo La Coruña,2005
6,Julian de Guzman,M,25-03-81,Toronto,Hannover 96,Deportivo La Coruña,2005
7,Sebastián Taborda,F,22-05-81,Montevideo,Defensor,Deportivo La Coruña,2005
8,Sergio Gonzalez,M,11-10-76,Barcelona,Espanyol,Deportivo La Coruña,2005
9,Diego Tristán,F,01-05-76,La Algaba,Mallorca,Deportivo La Coruña,2005
10,Javier Arizmendi,F,03-03-84,Madrid,Atlético Madrid,Deportivo La Coruña,2005
11,Pedro Munitis,F,19-06-75,Santander,Real Madrid,Deportivo La Coruña,2005
12,Francisco Gallardo,M,13-01-80,Seville,Sevilla,Deportivo La Coruña,2005
13,Gustavo Munúa,G,27-01-78,Montevideo,Nacional,Deportivo La Coruña,2005
14,Jorge Andrade,D,04-09-78,Lisbon,Porto,Deportivo La Coruña,2005
15,Juan Capdevila,D,03-02-78,Tarrega,Atlético Madrid,Deportivo La Coruña,2005
16,Roberto Acuña,M,25-03-72,Avellaneda,Zaragoza,Deportivo La Coruña,2005
17,Rubén Castro,F,27-06-81,Las Palmas,Las Palmas,Deportivo La Coruña,2005
18,Victor Sánchez,F,23-02-76,Madrid,Racing Santander,Deportivo La Coruña,2005
19,Jesús Muñoz,M,01-01-76,Mota del Cuervo,Atlético Madrid,Deportivo La Coruña,2005
20,Momo,M,15-07-82,Las Palmas,Las Palmas,Deportivo La Coruña,2005
21,Juan Carlos Valerón,M,17-06-75,Las Palmas,Atlético Madrid,Deportivo La Coruña,2005
22,Juanma,D,17-01-77,Huelva,Racing Santander,Deportivo La Coruña,2005
23,Fabrizio Coloccini,D,22-01-82,Córdoba,Milan,Deportivo La Coruña,2005
24,Héctor,D,10-11-74,Andalusia,Sevilla,Deportivo La Coruña,2005
25,Dani Mallo,G,25-01-79,La Coruña,Deportivo B,Deportivo La Coruña,2005
35,Iván Carril,F,13-02-85,Santiago de Compostela,Deportivo B,Deportivo La Coruña,2005
36,Xisco,F,27-06-86,Palma de Mallorca,Deportivo B,Deportivo La Coruña,2005
40,Senel,F,13-05-84,Vigo,Deportivo B,Deportivo La Coruña,2005
41,Iago,M,23-02-84,La Coruña,Deportivo B,Deportivo La Coruña,2005
42,Chapi,D,04-12-85,La Coruña,Deportivo B,Deportivo La Coruña,2005
1,Gorka Iraizoz,G,03-06-81,Pamplona,Gernika,Espanyol,2005
2,Armando Sá,D,16-09-75,Maputo,Villarreal,Espanyol,2005
3,David García,D,16-01-81,Manresa,Espanyol B,Espanyol,2005
4,Alberto Lopo,M,05-05-80,Barcelona,Espanyol B,Espanyol,2005
5,Mauricio Pochettino,D,03-12-72,Murphy,Bordeaux,Espanyol,2005
6,Eduardo Costa,M,23-09-82,Florianopolis,Marseille,Espanyol,2005
7,Walter Pandiani,F,27-04-76,Montevideo,Birmingham C,Espanyol,2005
8,Pablo Zabaleta,M,16-01-85,Capital Federal,San Lorenzo,Espanyol,2005
9,Iván de la Peña,M,05-06-76,Santander,Barcelona,Espanyol,2005
10,Luis García,F,02-06-81,Oviedo,Mallorca,Espanyol,2005
11,Jofre,F,24-01-80,Lleida,Levante,Espanyol,2005
13,Idriss Carlos Kameni,G,18-02-84,Douala,Le Havre,Espanyol,2005
14,Ito,M,21-01-75,Almendralejo,Betis,Espanyol,2005
15,Frédson,M,22-02-81,Moncão-Maranhão,Parana,Espanyol,2005
17,Juanfran,M,01-09-85,Crevillente,Real Madrid B,Espanyol,2005
18,Didier Domi,D,04-02-78,Sarcelles,Paris St-Germain,Espanyol,2005
20,Ferrán Corominas,F,01-05-83,Girona,Espanyol B,Espanyol,2005
21,Daniel Jarque,D,01-01-83,Barcelona,Espanyol B,Espanyol,2005
22,Moises Hurtado,M,02-02-81,Sabadell,Espanyol B,Espanyol,2005
23,Raúl Tamudo,F,19-10-77,Santa Coloma,Lleida,Espanyol,2005
25,Martín Posse,F,20-08-75,San Justo,Vélez Sarsfield,Espanyol,2005
26,Biel,G,12-02-85,Palma de Mallorca,Espanyol B,Espanyol,2005
27,Sergio Sánchez,D,04-03-86,Matarò,Espanyol B,Espanyol,2005
28,Miquel Robusté,D,20-05-85,Vilassar de Mar,Espanyol B,Espanyol,2005
29,Albert Yagüe,F,27-03-85,Vilassar de Mar,Espanyol B,Espanyol,2005
31,Miki,M,28-06-84,Berga,Espanyol B,Espanyol,2005
1,Luis García,G,21-04-79,Toledo,Zaragoza,Getafe,2005
2,Cosmin Contra,D,15-12-75,Timisoara,Atlético Madrid,Getafe,2005
3,Mariano Andres Pérnía,D,04-05-74,Capital Federal,Recreativo Huelva,Getafe,2005
4,David Belenguer,D,17-12-72,Villasar del Mar,Betis,Getafe,2005
5,David Cubillo,M,01-06-78,Madrid,Atlético Madrid B,Getafe,2005
6,Diego Rivas,M,27-04-80,Ciudad Real,Atlético Madrid B,Getafe,2005
7,Mario Cotelo,M,02-10-75,Langreo,Sevilla,Getafe,2005
8,Gheorghe Craioveanu,F,14-02-68,Craiova,Villarreal,Getafe,2005
9,Jajá,M,28-02-86,Ipatinga,Feyenoord,Getafe,2005
10,Rubén Martín Pulido,D,02-02-79,Madrid,Rayo Vallecano,Getafe,2005
11,Riki ,F,08-11-80,Aranjuez,Real Madrid B,Getafe,2005
12,Aníbal Matellán,D,05-08-77,General Villegas,Schalke,Getafe,2005
13,Juan Catalayud,G,21-12-79,Málaga,Málaga,Getafe,2005
14,Veljko Paunovic,M,21-08-77,Strumica,Hannover 96,Getafe,2005
15,Javier Paredes,D,07-05-82,Oviedo,Real Madrid,Getafe,2005
16,Ángel Vivar Dorado,M,02-12-74,Madrid,Racing Santander,Getafe,2005
17,Sergio Pachón,F,02-05-77,Madrid,Valladolid,Getafe,2005
18,Pablo Redondo,M,17-04-82,Valencia,Valencia,Getafe,2005
19,Güiza,F,17-07-80,Jerez de la Frontera,Ciudad de Murcia,Getafe,2005
20,Fabio Celestini,M,31-10-75,Lausanne,Marseille,Getafe,2005
21,Nano,F,20-04-82,La Coruña,Atlético Madrid,Getafe,2005
22,Jaime Gavilán,M,05-12-85,Valencia,Valencia B,Getafe,2005
23,Manuel Tena,D,09-08-76,Alcala de Henares,Valladolid,Getafe,2005
24,Alberto,M,07-12-84,Benamejí,Málaga B,Getafe,2005
30,Sito,G,12-02-81,Madrid,Getafe B,Getafe,2005
31,Alejandro Rebollo,G,01-11-83,Gijón,Getafe B,Getafe,2005
1,Francesc Arnau,G,23-03-75,Les Planes,Barcelona,Málaga,2005
2,Gabriel,D,06-05-81,Feira de Santana,Fluminense,Málaga,2005
3,Anderson Silva,M,29-08-82,São Paulo,Everton,Málaga,2005
4,Litos,D,26-02-74,Paranhas,Boavista,Málaga,2005
5,César Navas,D,14-02-80,Madrid,Málaga B,Málaga,2005
6,Alexis,D,08-04-85,Málaga,Málaga B,Málaga,2005
7,Gerardo,M,12-07-74,Sevilla,Valencia,Málaga,2005
8,Antonio Hidalgo,M,02-06-79,Granollers,Tenerife,Málaga,2005
10,Edgar,F,08-07-77,Luanda,Real Madrid,Málaga,2005
11,Nacho,M,24-06-80,Huelva,Levante,Málaga,2005
12,Vicente Valcarce,D,19-10-74,Lanzarote,Real Madrid B,Málaga,2005
13,Iñaki Goitia,G,03-02-82,Cruces,Málaga B,Málaga,2005
14,Marcelo Romero,M,07-04-76,Montevideo,Peñarol,Málaga,2005
15,Manu,M,25-01-78,Málaga,Real Madrid B,Málaga,2005
16,Richard Morales,F,21-02-75,Montevideo,Osasuna,Málaga,2005
17,Salva Ballesta,F,25-05-75,Zaragoza,Valencia,Málaga,2005
18,Pablo Couñago,F,08-09-79,Pontevedra,Ipswich T,Málaga,2005
19,Fernando Sanz,D,01-04-74,Madrid,Real Madrid,Málaga,2005
20,Duda,M,27-06-80,Lisbon,Cádiz,Málaga,2005
21,Antonio López,M,05-12-80,Madrid,Sevilla,Málaga,2005
22,Juan Rodríguez,M,04-01-82,Málaga,Málaga B,Málaga,2005
23,Ricardo Bóvio,M,17-01-82,Campos,Santos,Málaga,2005
24,Jorge Ribeiro,D,11-09-81,Lisbon,Gil Vicente,Málaga,2005
25,Javi Muñoz,G,27-01-82,La Algaba,Málaga B,Málaga,2005
26,Manolo Reina,G,04-01-85,Villaneuva del Trabuco,Málaga B,Málaga,2005
27,Jesús Gámez,M,04-10-85,Fuengirola,Málaga B,Málaga,2005
31,Usero,M,27-03-84,Puertollano,Málaga B,Málaga,2005
32,Diego Castro,F,07-02-82,Pontevedra,Málaga B,Málaga,2005
33,Jorge Pina,M,28-02-83,Zaragoza,Málaga B,Málaga,2005
34,Ador,F,09-02-85,Málaga,Málaga B,Málaga,2005
38,Saúl,M,04-09-85,Oviedo,Málaga B,Málaga,2005
42,Marc Torrejón,D,18-02-86,Barcelona,Málaga B,Málaga,2005
43,Abel,M,20-02-82,Málaga,Málaga B,Málaga,2005
1,Miguel Ángel Moyá,G,04-02-84,Binissalem,Mallorca B,Mallorca,2005
2,Aggelos Basinas,M,01-03-76,Spata,Panathinaikos,Mallorca,2005
3,Fernando Navarro,D,25-06-82,Barcelona,Barcelona,Mallorca,2005
4,Guillermo Pereyra,M,20-02-80,Rio Cuarto,River Plate ,Mallorca,2005
5,Cristiano Doni,M,04-01-73,Rome,Sampdoria,Mallorca,2005
6,Borja Fernández,D,14-01-81,Orense,Real Madrid,Mallorca,2005
7,Alejandro Campano,M,29-12-78,Seville,Mallorca B,Mallorca,2005
8,David Cortés,D,29-08-79,Badajoz,Extremadura,Mallorca,2005
9,Yordi,F,14-09-74,Cádiz,Getafe,Mallorca,2005
10,Francisco Javier Farinós,M,29-03-78,Valencia,Internazionale,Mallorca,2005
11,Jonás Gutiérrez,M,05-07-82,Sáenz Peña,Vélez Sarsfield,Mallorca,2005
12,Leonardo Pisculichi,F,18-01-84,Rafael Castillo,Argentinos Juniors,Mallorca,2005
14,Francisco Maciel,D,17-09-77,Buenos Aires,Mallorca,Mallorca,2005
15,Tuni,F,14-06-82,Sóller,Mallorca B,Mallorca,2005
16,José Nunes,D,03-07-77,Castelo de Pavia,Sporting Braga,Mallorca,2005
17,Yoshito Okubo,F,06-09-82,Fukuoka,Cerezo Osaka,Mallorca,2005
18,Juan Arango,M,17-05-80,Maracay,Puebla,Mallorca,2005
19,Víctor,F,28-02-85,Palma de Mallorca,Mallorca B,Mallorca,2005
20,Eduardo Tuzzio,D,31-07-74,Capital Federal,River Plate,Mallorca,2005
21,Braulio,F,18-09-85,Puerto Rosario,Atlético Madrid B,Mallorca,2005
22,Sergio Ballesteros,D,09-04-75,Valencia,Villarreal,Mallorca,2005
23,Alessandro Potenza,D,03-08-84,San Severo,Internazionale,Mallorca,2005
24,Rafita,D,18-09-82,Palma de Mallorca,Mallorca B,Mallorca,2005
25,Toni Prats,G,09-09-71,Capdepera,Betis,Mallorca,2005
26,José,D,07-01-85,Palma de Mallorca,Mallorca B,Mallorca,2005
